Dataset,Code,Project,sha,CWE,Severity,Year,owner,project,Date,Message,sha-p
VULAS,CVE-2008-2938,https://github.com/apache/tomcat,150bc791ac3ba40081425dd1c37a053fbb02b339,,,,apache,tomcat,3/2/13 20:17,"Expand UTF-8 tests based on a test case written by Joe Orton for CVE-2008-2938
Note the additional failures this generates are not exploitable. They are invalid only because they encode a valid code point in too many bytes.

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1451933 13f79535-47bb-0310-9956-ffa450edef68",8d79505c2de930251e875b7ebfe8922e28d01f0e
VULAS,CVE-2008-5515,https://github.com/apache/tomcat,6b61911f94d6d8d49ee933c5f1882a7e7c336d2c,,,,apache,tomcat,1/15/09 15:34,"Remove 3 of the essentially 4 duplicate normalise implementations.
Minor tweaks where required to use the new single implementation.
Remove unnecessary normalisation calls.
This includes the fix for CVE-2008-5515.

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@734734 13f79535-47bb-0310-9956-ffa450edef68",e3c54fb114a502bb794dd800dc7154987c8b022d
VULAS,CVE-2009-2625,https://github.com/apache/xerces2-j,0bdf77af1d4fd26ec2e630fb6d12e2dfa77bc12b,,,,apache,xerces2-j,6/22/09 19:08,"Fixing JIRA Issue #1412: https://issues.apache.org/jira/browse/XERCESJ-1412. Resolves CVE-2009-2625 and a few other issues. We were missing checks for surrogates and well-formedness when scanning system identifiers.

git-svn-id: https://svn.apache.org/repos/asf/xerces/java/trunk@787352 13f79535-47bb-0310-9956-ffa450edef68",00a1cb9257dd1806467cf7c8a5a95161298b34ed
VULAS,CVE-2010-1244,https://github.com/apache/activemq,1f464b9412e1b1c08d40c8ffac40edd52731da48,,,,apache,activemq,2/23/10 15:38,"merging 915269,915384 - https://issues.apache.org/activemq/browse/AMQ-2613 - XSS and CSRF vunerabilities

git-svn-id: https://svn.apache.org/repos/asf/activemq/branches/activemq-5.3@915387 13f79535-47bb-0310-9956-ffa450edef68",e440e903e206cac9832ca2c56592e6aaec844b81
VULAS,CVE-2010-3260,https://github.com/orbeon/orbeon-forms,aba6681660f65af7f1676434da68c10298c30200,,,,orbeon,orbeon-forms,12/4/10 0:32,"Implemented ""[ #315668 ] Disable loading of external entities in XML parsing by default"".",9610d39e90ea9f3c3b8fcf5b47a6038ca52f0f14
VULAS,CVE-2010-4172,https://github.com/apache/tomcat,5971f9392edc6d70808b2599b062b050fcd11d23,,,,apache,tomcat,11/22/10 17:19,"Fix CVE-2010-4172. Multiple XSS in Manager web application

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1037778 13f79535-47bb-0310-9956-ffa450edef68",991702c8cf6b30daabcaf53301c95dd02c494782
VULAS,CVE-2011-0534,https://github.com/apache/tomcat,008447095ce8c3a8f713093d5e618f3f06f94ea8,,,,apache,tomcat,2/1/11 7:55,"Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=50631
InternalNioInputBuffer should honor maxHttpHeadSize
This addresses CVE-2011-0534

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1065939 13f79535-47bb-0310-9956-ffa450edef68",b4e9488629bf03b4b65abf335e536e85386d1366
VULAS,CVE-2011-1183,https://github.com/apache/tomcat,b7b5c63a932f6c1ea05f9b65ad9054247bb5af57,,,,apache,tomcat,4/1/11 10:49,"Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=12428
Add optional support for preemptive authentication on a per context basis
Based on a patch suggested by Werner Donn
This includes the fix for CVE-2011-1183

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1087643 13f79535-47bb-0310-9956-ffa450edef68",6eaeaf4b0fa26f7f7f1022989c12abcb2d705fd3
VULAS,CVE-2011-1419,https://github.com/apache/tomcat,0ff4905158b77787a7f3aca55c9dec93456665dc,,,,apache,tomcat,3/9/11 11:16,"CVE-2011-1088
Complete the fix for this issue. The optimisation not to configure an authenticator of there were no security constraints meant that in that case @ServletSecurity annotations had no effect. The unit tests did not pick this up since they added an authenticator directly.
Add an explicit unit test for this scenario.


git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1079752 13f79535-47bb-0310-9956-ffa450edef68",f4cb4b0faaafa941c00c62705aa6573009b6fcd9
VULAS,CVE-2011-1498,https://github.com/apache/httpcomponents-client,a572756592c969affd0ce87885724e74839176fb,,,,apache,httpcomponents-client,2/25/11 11:19,"HTTPCLIENT-1061: Proxy-Authorization header gets sent to the target host when tunneling requests through a proxy that requires authentication

git-svn-id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1074473 13f79535-47bb-0310-9956-ffa450edef68",d2670af7dc0d622f6ed121294a9eda4d424e2733
VULAS,CVE-2011-1582,https://github.com/apache/tomcat,299b26af66793438c323ea6b18462fa44683080f,,,,apache,tomcat,5/8/11 22:53,"Use the correct classloader
This is the fix for CVE-2011-1582

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1100832 13f79535-47bb-0310-9956-ffa450edef68",37b704da7eb200de09979164fe8a6864424c7291
VULAS,CVE-2011-3375,https://github.com/apache/tomcat,9eae334e9492f55a841e6eb7ab302ff11d03ab21,,,,apache,tomcat,9/27/11 20:19,"Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=51872
Ensure access log always logs the correct remote IP.
Ensure requests with multiple errors do not result in multiple access log entries. 

git-svn-id: https://svn.apache.org/repos/asf/tomcat/tc7.0.x/trunk@1176592 13f79535-47bb-0310-9956-ffa450edef68",d5bd2e6000689c56f0832bf1ff40d9d9d74e4d63
VULAS,CVE-2011-4905,https://github.com/apache/activemq,3a71f8e33d0309cb0ca5b5758a8f251da205e757,,,,apache,activemq,12/2/11 21:34,"Fix for https://issues.apache.org/jira/browse/AMQ-3294 and https://issues.apache.org/jira/browse/AMQ-1928

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@1209700 13f79535-47bb-0310-9956-ffa450edef68",f260b17488ac00e8b9e1dcf12ff9ee9b2e68f80e
VULAS,CVE-2012-0213,https://github.com/apache/poi,c702bc5ce58f9f11f408c7568cc96382c76641ef,,,,apache,poi,5/29/13 17:25,"Fix bug #54682 - UnhandledDataStructure should sanity check before allocating, not after

git-svn-id: https://svn.apache.org/repos/asf/poi/trunk@1487555 13f79535-47bb-0310-9956-ffa450edef68",8044d82dd589d67dddb9cfcae71a708968b3d71c
VULAS,CVE-2012-0392,https://github.com/apache/struts,34c80dae734e70f13c0e46f9c83602fb71318e58,,,,apache,struts,12/20/11 20:17,"WW-3729 - Improves Strict DMI mode

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/branches/STRUTS_2_3_X@1221473 13f79535-47bb-0310-9956-ffa450edef68",49abe3704e980f1e77429b2b8a07f0e9f0306ce0
VULAS,CVE-2012-0393,https://github.com/apache/struts,9cad25f258bb2629d263f828574d2671366c238d,,,,apache,struts,12/27/11 22:34,"Merges changes from 2.3.x branch

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/trunk@1225038 13f79535-47bb-0310-9956-ffa450edef68",47e12adc0ea865f559f8b8d8064a791cb1e7fe37
VULAS,CVE-2012-0394,https://github.com/apache/struts,9cad25f258bb2629d263f828574d2671366c238d,,,,apache,struts,12/27/11 22:34,"Merges changes from 2.3.x branch

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/trunk@1225038 13f79535-47bb-0310-9956-ffa450edef68",47e12adc0ea865f559f8b8d8064a791cb1e7fe37
VULAS,CVE-2012-1621,https://github.com/apache/ofbiz,ea604f84e4a21fe081d66bbdab454b1e8a7d09b3,,,,apache,ofbiz,4/5/12 18:58,"Merged from trunk r1309993: CVE-2012-1621: Prevent user submitted data from being streamed directly back to the browser when the content map-key is not found.  Log a warning instead.

git-svn-id: https://svn.apache.org/repos/asf/ofbiz/branches/release10.04@1310013 13f79535-47bb-0310-9956-ffa450edef68",e5547096a3a0065f675bdc6a17b99759b367be80
VULAS,CVE-2012-2379,https://github.com/apache/cxf,4500bf901cb2a7312291b6663045f28a95d2a0c4,,,,apache,cxf,5/14/12 14:27,"Improved SupportingToken policy validation

git-svn-id: https://svn.apache.org/repos/asf/cxf/trunk@1338219 13f79535-47bb-0310-9956-ffa450edef68",577235e62a3358dce8c9f142285858c49c19fbde
VULAS,CVE-2012-3451,https://github.com/apache/cxf,9c70abe28fbf2b4c4df0b93ed12295ea5a012554,,,,apache,cxf,8/2/12 15:49,"Some improvements to handling SOAP Actions

git-svn-id: https://svn.apache.org/repos/asf/cxf/trunk@1368559 13f79535-47bb-0310-9956-ffa450edef68",92831c6a6da8b8a3771e4535dc75003152e74828
VULAS,CVE-2012-4387,https://github.com/apache/struts,87935af56a27235e9399308ee1fcfb74f8edcefa,,,,apache,struts,8/3/12 13:41,"Merged from trunk
WW-3860
Restrict accepted parameter name length
Thanks to Johno Crawford for the patch. [from revision 1368841]

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/branches/STRUTS_2_3_4_X@1368949 13f79535-47bb-0310-9956-ffa450edef68",1081c52be93abfd2f33ba8453c676e3edcedec8b
VULAS,CVE-2012-6092,https://github.com/apache/activemq,51eb87a84be88d28383ea48f6e341ffe1203c5ba,,,,apache,activemq,10/18/12 10:57,"https://issues.apache.org/jira/browse/AMQ-4115 - xss in web demos

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@1399577 13f79535-47bb-0310-9956-ffa450edef68",65af81e09ecbb38e43b1410b2e1bd9c02926fc88
VULAS,CVE-2012-6119,https://github.com/candlepin/candlepin,f4d93230e58b969c506b4c9778e04482a059b08c,,,,candlepin,candlepin,12/19/12 19:19,"835977: Re-enable manifest signature checking.

The production/stage public candlepin certificate is now packaged in the
RPM. This is flagged as a config file but *without* noreplace, so any
deployment using their own upstream cert (we don't think there are any)
will have to restore it from the rpmsave file that results after a
candlepin rpm upgrade. This was done because we expect this to be the
desired behavior, there is no known usecase for using your own
upstream cert at this time.",9cd5d7020f813b4f12c672ed075c4d6c63e49a70
VULAS,CVE-2012-6153,https://github.com/apache/httpcomponents-client,6e14fc146a66e0f3eb362f45f95d1a58ee18886a,,,,apache,httpcomponents-client,11/20/12 15:37,"Fixed CN extraction from DN of X500 principal

git-svn-id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1411702 13f79535-47bb-0310-9956-ffa450edef68",529541458b62a4ecada29e135968bb60ccc7dfcb
VULAS,CVE-2012-6612,https://github.com/apache/lucene-solr,f230486ce6707762c1a6e81655d0fac52887906d,,,,apache,lucene-solr,9/27/12 10:10,"SOLR-3895, SOLR-3614: XML and XSLT UpdateRequestHandler should not try to resolve external entities; fix XML parsing in XPathEntityProcessor to correctly expand named entities, but ignore external entities

git-svn-id: https://svn.apache.org/repos/asf/lucene/dev/trunk@1390921 13f79535-47bb-0310-9956-ffa450edef68",cc2dfa773a388950ea2738b70d97a740fad67476
VULAS,CVE-2013-0239,https://github.com/apache/cxf,295a4e2f9eb3e7e0513980202949ccc424dee2d4,,,,apache,cxf,1/25/13 10:26,"[CXF-4776] - Fix + re-enable tests

git-svn-id: https://svn.apache.org/repos/asf/cxf/trunk@1438424 13f79535-47bb-0310-9956-ffa450edef68",d315a7d5259c28e4babd4d5c061eade848958461
VULAS,CVE-2013-1777,https://github.com/apache/geronimo,ee031c5e62b0d358250d06c2aa6722518579a6c5,,,,apache,geronimo,3/19/13 3:43,"set better classloader for jmx

git-svn-id: https://svn.apache.org/repos/asf/geronimo/server/branches/3.0@1458113 13f79535-47bb-0310-9956-ffa450edef68",67b5e07bf00e01e690e825ee5674666e85e7e204
VULAS,CVE-2013-1879,https://github.com/apache/activemq,148ca81dcd8f14cfe2ff37012fd1aa42518f02dc,,,,apache,activemq,3/21/13 12:34,"https://issues.apache.org/jira/browse/AMQ-4397 - xss in cron expressions

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@1459265 13f79535-47bb-0310-9956-ffa450edef68",0d58477039f01617c3f1287eb20c118bfa5e0522
VULAS,CVE-2013-1880,https://github.com/apache/activemq,fafd12dfd4f71336f8e32c090d40ed1445959b40,,,,apache,activemq,3/21/13 13:25,"https://issues.apache.org/jira/browse/AMQ-4398 - sanitize header in stock portfolio servlet

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@1459301 13f79535-47bb-0310-9956-ffa450edef68",148ca81dcd8f14cfe2ff37012fd1aa42518f02dc
VULAS,CVE-2013-1965,https://github.com/apache/struts,7e6f641ebb142663cbd1653dc49bed725edf7f56,,,,apache,struts,4/18/13 9:49,"Disable eval expressions

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/branches/STRUTS_2_3_14_X@1469249 13f79535-47bb-0310-9956-ffa450edef68",9fbb0d92b945151a36744808627d186c221ee375
VULAS,CVE-2013-1966,https://github.com/apache/struts,7e6f641ebb142663cbd1653dc49bed725edf7f56,,,,apache,struts,4/18/13 9:49,"Disable eval expressions

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/branches/STRUTS_2_3_14_X@1469249 13f79535-47bb-0310-9956-ffa450edef68",9fbb0d92b945151a36744808627d186c221ee375
VULAS,CVE-2013-2035,https://github.com/fusesource/hawtjni,92c266170ce98edc200c656bd034a237098b8aa5,,,,fusesource,hawtjni,5/6/13 13:49,Simplify shared lib extraction.,357bb279b0c8c67b7d357c1363efe86870ad9a81
VULAS,CVE-2013-2172,https://github.com/apache/santuario-java,8e8f8bf92a43608d7d5f9e357fae19244454a61f,,,,apache,santuario-java,6/17/13 14:19,"Don't allow non-standard c14n method

git-svn-id: https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/1.5.x-fixes@1493772 13f79535-47bb-0310-9956-ffa450edef68",5cf6abf60a18385dfffe4d93777ba729351a5ee6
VULAS,CVE-2013-2185,https://github.com/apache/tomcat,e246e5fc13307da0a5d3bbf860d64d97be1c40f8,,,,apache,tomcat,4/22/13 10:33,"Clean-up: Remove unnecessary code.

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1470435 13f79535-47bb-0310-9956-ffa450edef68",a5f369ad9fb32ecf8430cc28c91eb9f4dab6af76
VULAS,CVE-2013-2186,https://github.com/apache/commons-fileupload,163a6061fbc077d4b6e4787d26857c2baba495d1,,,,apache,commons-fileupload,7/25/13 16:16,"When deserializing DiskFileItems ensure that the repository location, if any, is a valid one.
Patch provided by Arun Babu Neelicattu.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/fileupload/trunk@1507048 13f79535-47bb-0310-9956-ffa450edef68",e685ae49df3ccb864493f51a14ddd884e86e7e03
VULAS,CVE-2013-2193,https://github.com/apache/hbase,408eb243ad51bbad593d83ad2cfd35cc0e90b38e,,,,apache,hbase,6/20/13 6:40,"Fix up RPC handling

git-svn-id: https://svn.apache.org/repos/asf/hbase/branches/0.94@1494871 13f79535-47bb-0310-9956-ffa450edef68",1ec24ec1a72f6101f8f5e50f870a147abcbe4a24
VULAS,CVE-2013-2250,https://github.com/apache/ofbiz,0187743b1ef3c847a2d6b8687070c909316936a6,,,,apache,ofbiz,7/8/13 14:37,"Removed support for runtime nested expressions in FlexibleStringExpander.java. This fixes the vulnerability CVE-2013-2250


git-svn-id: https://svn.apache.org/repos/asf/ofbiz/trunk@1500772 13f79535-47bb-0310-9956-ffa450edef68",e65657f3307f41b1cb0fd2cf62102876ef75946f
VULAS,CVE-2013-4152,https://github.com/spring-projects/spring-framework,7576274874deeccb6da6b09a8d5bd62e8b5538b7,,,,spring-projects,spring-framework,8/6/13 22:04,"Fix potential security risk when using Spring OXM

Disable by default external entity resolution when using Spring OXM
with jaxb. This prevents a XML entity from being able to resolve a
local file on the host system.

See:
https://www.owasp.org/index.php/XML_External_Entity_(XXE)_Processing

Issue: SPR-10806",28be8e9063ce0365a6a5efb3e69863a4e60c34fd
VULAS,CVE-2013-4310,https://github.com/apache/struts,0c8366cb792227d484b9ca13e537037dd0cb57dc,,,,apache,struts,10/15/13 18:20,"Changes archetypes version to match latest release

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/branches/STRUTS_2_3_15_X@1532467 13f79535-47bb-0310-9956-ffa450edef68",9a3d105c804a5641c659b6233de3c145d55a7f51
VULAS,CVE-2013-4316,https://github.com/apache/struts,58947c3f85ae641c1a476316a2888e53605948d1,,,,apache,struts,9/18/13 5:50,"Disables DMI

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/branches/STRUTS_2_3_15_1_X@1524296 13f79535-47bb-0310-9956-ffa450edef68",52feec5b14009e2cf46edd6185e7be48bbb26e41
VULAS,CVE-2013-4366,https://github.com/apache/httpcomponents-client,08140864e3e4c0994e094c4cf0507932baf6a66,,,,apache,httpcomponents-client,10/2/13 20:14,"Ensure X509HostnameVerifier is never null

git-svn-id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1528614 13f79535-47bb-0310-9956-ffa450edef68",d9e2140b1260db86f8dc6c77e378733c0459f244
VULAS,CVE-2013-4378,https://github.com/javamelody/javamelody,aacbc46151ff4ac1ca34ce0899c2a6113071c66e,,,,javamelody,javamelody,9/26/13 22:02,fix for issue 346: XSS through X-Forwarded-For header spoofing,581a1de11ab9cd1e50e3b0a3b67049cedd4763ac
VULAS,CVE-2013-4517,https://github.com/apache/santuario-java,a09b9042f7759d094f2d49f40fc7bcf145164b25,,,,apache,santuario-java,11/1/13 15:25,"Disallow doc type declarations when secure validation is enabled


Conflicts:
	src/main/java/org/apache/xml/security/c14n/Canonicalizer.java

git-svn-id: https://svn.apache.org/repos/asf/santuario/xml-security-java/branches/1.5.x-fixes@1537956 13f79535-47bb-0310-9956-ffa450edef68",10c73335ccd7fabe63ea58754bea1bc4b2dc4a93
VULAS,CVE-2013-5679,https://github.com/ESAPI/esapi-java-legacy,41138fef5f63d9cf0d5e05d2bee2c7f682ffef3f,,,,ESAPI,esapi-java-legacy,8/29/13 0:49,"Fix for Google Issue #306 and changes to address the side effects of the fix (i.e., the removal of the deprecated ESAPI 1.4 encrypt() / decrypt() methods from the Encryptor interface).",b03591e53823c3d6a7792b030bb4cbfa6b6916d8
VULAS,CVE-2013-5960,https://github.com/ESAPI/esapi-java-legacy,b7cbc53f9cc967cf1a5a9463d8c6fef9ed6ef4f7,,,,ESAPI,esapi-java-legacy,1/31/16 6:56,Close #306. Close #359,6438ad007b202c563ceda080429ea77a66d5d6ed
VULAS,CVE-2013-6372,https://github.com/jenkinsci/subversion-plugin,7d4562d6f7e40de04bbe29577b51c79f07d05ba6,,,,jenkinsci,subversion-plugin,11/19/13 2:07,"[FIXED SECURITY-58]

encryption of passphrases wasn't sufficiently secure.",b5cd30370ef40439c37b7350810d3469b9a17fc1
VULAS,CVE-2013-6397,https://github.com/apache/lucene-solr,da34b18cb3092df4972e2b6fa5178d1059923910,,,,apache,lucene-solr,9/21/13 14:51,"SOLR-4882: Restrict SolrResourceLoader to only allow access to resource files below the instance dir

git-svn-id: https://svn.apache.org/repos/asf/lucene/dev/trunk@1525246 13f79535-47bb-0310-9956-ffa450edef68",243e614e5265d3243b90595b399211a197bb4c59
VULAS,CVE-2013-6407,https://github.com/apache/lucene-solr,f230486ce6707762c1a6e81655d0fac52887906d,,,,apache,lucene-solr,9/27/12 10:10,"SOLR-3895, SOLR-3614: XML and XSLT UpdateRequestHandler should not try to resolve external entities; fix XML parsing in XPathEntityProcessor to correctly expand named entities, but ignore external entities

git-svn-id: https://svn.apache.org/repos/asf/lucene/dev/trunk@1390921 13f79535-47bb-0310-9956-ffa450edef68",cc2dfa773a388950ea2738b70d97a740fad67476
VULAS,CVE-2013-6408,https://github.com/apache/lucene-solr,7239a57a51ea0f4d05dd330ce5e15e4f72f72747,,,,apache,lucene-solr,5/30/13 18:58,"SOLR-4881: Fix DocumentAnalysisRequestHandler to correctly use EmptyEntityResolver to prevent loading of external entities like UpdateRequestHandler does

git-svn-id: https://svn.apache.org/repos/asf/lucene/dev/trunk@1487976 13f79535-47bb-0310-9956-ffa450edef68",fecb6fb0a2c197d008adaa4ca44c8780231c7981
VULAS,CVE-2013-6430,https://github.com/spring-projects/spring-framework,7a7df6637478607bef0277bf52a4e0a03e20a248,,,,spring-projects,spring-framework,2/15/13 11:45,"Update JavaScriptUtils

Add escaping for <, >, and PS/LS line terminators

Issue: SPR-9983",63bff1f068f0c749f938abacba1d38b7d0ca3cf9
VULAS,CVE-2013-6447,https://github.com/seam2/jboss-seam,090aa6252affc978a96c388e3fc2c1c2688d9bb5,,,,seam2,jboss-seam,1/21/14 14:47,"https://issues.jboss.org/browse/WFK2-375 enhanced fix

git-svn-id: https://svn.jboss.org/repos/seam/branches/enterprise/WFK-2_1@15651 a9c07ecc-ef43-0410-a306-c911db474e88",b1d14541be7f16f97cf388239cda8bc168d8372a
VULAS,CVE-2013-6448,https://github.com/seam2/jboss-seam,090aa6252affc978a96c388e3fc2c1c2688d9bb5,,,,seam2,jboss-seam,1/21/14 14:47,"https://issues.jboss.org/browse/WFK2-375 enhanced fix

git-svn-id: https://svn.jboss.org/repos/seam/branches/enterprise/WFK-2_1@15651 a9c07ecc-ef43-0410-a306-c911db474e88",b1d14541be7f16f97cf388239cda8bc168d8372a
VULAS,CVE-2013-7251,https://github.com/micromata/projectforge-webapp,422de35e3c3141e418a73bfb39b430d5fd74077e,,,,micromata,projectforge-webapp,12/5/13 23:14,CSRF protection.,a9a5fd6844f7620eb8977d009aef94739812f195
VULAS,CVE-2013-7285,https://github.com/x-stream/xstream,6344867dce6767af7d0fe34fb393271a6456672d,,,,x-stream,xstream,1/22/14 18:29,"Merge security framework from HEAD into branch.

git-svn-id: http://svn.codehaus.org/xstream/branches/v-1.4.x@2219 9830eeb5-ddf4-0310-9ef7-f4b9a3e3227e",64533f1fe2ece82398a1478edc2d30478fb7cd11
VULAS,CVE-2013-7315,https://github.com/spring-projects/spring-framework,7576274874deeccb6da6b09a8d5bd62e8b5538b7,,,,spring-projects,spring-framework,8/6/13 22:04,"Fix potential security risk when using Spring OXM

Disable by default external entity resolution when using Spring OXM
with jaxb. This prevents a XML entity from being able to resolve a
local file on the host system.

See:
https://www.owasp.org/index.php/XML_External_Entity_(XXE)_Processing

Issue: SPR-10806",28be8e9063ce0365a6a5efb3e69863a4e60c34fd
VULAS,CVE-2013-7330,https://github.com/jenkinsci/jenkins,36342d71e29e0620f803a7470ce96c61761648d8,,,,jenkinsci,jenkins,2/11/13 21:47,"[SECURITY-55]

This patch makes standard post-build action refuse to let you configure a downstream project you cannot currently build.
The one from parameterized-trigger will show an error in the configure screen but still lets you save the configuration; needs an analogous patch to that plugin.
Does not yet protect against POSTing config.xml with the trigger.
(cherry picked from commit 757bc8a53956e6fbab267214e6e0896f03c3c262)

Conflicts:

	core/src/main/java/hudson/model/Descriptor.java",0de3e9b14ed75f70279435e78eb9f6a3a1a179df
VULAS,CVE-2013-7397,https://github.com/AsyncHttpClient/async-http-client,df6ed70e86c8fc340ed75563e016c8baa94d7e72,,,,AsyncHttpClient,async-http-client,6/12/14 19:47,"Introduce acceptAnyCertificate config, defaulting to false, close #526, close #352",e5e6489941e222d4b510ba09ce7b53e9eed02601
VULAS,CVE-2014-0034,https://github.com/apache/cxf,b4b9a010bb23059251400455afabddee15b46127,,,,apache,cxf,12/16/13 15:18,"Validation fix in the STS

git-svn-id: https://svn.apache.org/repos/asf/cxf/trunk@1551228 13f79535-47bb-0310-9956-ffa450edef68",f9b4939d483b43eb72ad165f995e763ce6bc34d8
