Dataset,Code,Project,owner,project,sha-p,sha,sha-reg,sha-reg-p
SECBENCH,,https://github.com/curl/curl,curl,curl,a9cd4f4ed49e1a0b79f8fc6a0cb129331fa04f23,1238edaeaf947b896aafd9ddffc8430dea179c3a,07b9826541ec429433495d237301d59a5d8bfd22,13505dcb5573e256fd14daf97afefb8b9a7c6263
SECBENCH,CVE-2014-3506,https://github.com/openssl/openssl,openssl,openssl,11e7982a7cc6cbbcbb13046ceed37639c26a0bc1,1250f12613b61758675848f6600ebd914ccd7636,d3a73875e2e420333aab98acf9d06841447fdebc,41d2a336eee7fcf7beda0ce38e0ef7fc16bbfdb1
SECBENCH,,https://github.com/forkcms/forkcms,forkcms,forkcms,e45964aa7ed3621df4963991d3df03bbd3d6b8ec,1269fe8b3813c7b7d5552a2b88bc2e7bd4d0c1f9,82a82b9e3c4850734275dddc2bb2cfb4e2a73e4d,c85c4a5be286d39bc6dc8c75ddd94364c55f17fc
SECBENCH,,https://github.com/curl/curl,curl,curl,9273096a8ab7e31921550b9f7b08eb2b32dcc35e,12e78a082eeb116c528572e6de51b7c4a0eb1bf1,8191800a0c8ff7b262535cbf1311d93ada2ee0c4,2165298fe6213609460345e466e3ca9d94324965
SECBENCH,CVE-2014-9571,https://github.com/mantisbt/mantisbt,mantisbt,mantisbt,7cc4539fca65a61c48a40e31787e7d4751a7f9bd,132cd6d041f8ef5811e4eca8bdb516c893ebb52e,4ee098cb8f869b97ea6f4fa190bab48766aac543,9c8143141c18da89178e489e4a5956ebda5288c9
SECBENCH,,https://github.com/curl/curl,curl,curl,ec9fa4f6b372e4e77fa741788e37a820bfa2ffc2,1343756742463488c63453723b2bfe002e45c47f,56bc31e9f9082e404ef813fb5a670f1f743b081d,a9181f8f00d5bdfda39e227ed2ec4076ee4d2baa
SECBENCH,,https://github.com/Pylons/pyramid,Pylons,pyramid,5a20b131b921362785dda87409ca8eb3a1a9c6a1,13906d6a2eb8c852d32752dca9e06e7d203d86d8,b60fe723898b6c9d16e69c0ea4bb4ced4bd4f55c,355ed0f0063d37cddfc3d315c7a32cb9e9a2987c
SECBENCH,CVE-2012-0884,https://github.com/openssl/openssl,openssl,openssl,13747c6fdabbba33cb187a133548b73d41ae282d,146b52edd122f55e2b2bfeb486dae8dbe96f739e,4edfacb983318fc7f0d807c26b317717c0c53ee5,c6efe6f59ed09ff37abcd808cf68cc46af989943
SECBENCH,,https://github.com/cakephp/cakephp,cakephp,cakephp,ae3d082dd6e29607518e557590ae74b7d525ff60,1545b730ae756c2e565083fc66624cc9fb949f35,730a80f3e93d4e5d1fb312f1ec1d4f27e5439e41,6e363d39f11e959809ab41300b641f75ee60bb01
SECBENCH,,https://github.com/moodle/moodle,moodle,moodle,9e1c2ba45c1672cd47e6f81cdcda61712c5cf956,16303ee90546962c473829418f4cba207c164dd6,6440286719e9a5fb1516b32a7bbe4beb104fb67a,8a4acb3acabefbb216510d1b96f802e06bd73b5a
SECBENCH,,https://github.com/josh/rails,josh,rails,1911f8eee928915f1020753a4a3ba34c81131a66,16669774903dd7bfaaf1bf8f0c72e49ebaeffeeb,0b2e0528df36bcef4aca62b86f55e1ea85604cd8,1302edf3e53a2322e3496588c0c06e7e882d3cc6
SECBENCH,CVE-2017-6799,https://github.com/mantisbt/mantisbt,mantisbt,mantisbt,c26b34b6cf24f69ece52d3409fd16d659a767fc9,1677251434b6e8b2be8f1d4376a3e78f7be14d95,89f881b0c82d4ed7fab46f74bc9c45028bf6b00c,f10a17824209cef604a748ab0236c9f6bffd7f07
SECBENCH,,https://github.com/cakephp/cakephp,cakephp,cakephp,2219991d3b166d2ecaa49ad5b78b0380aca9df2f,17e4eee73d84dbc5a65a4b9fae2adafdf6d46e45,5d9b4cbff0c52bd0cefcff3de457f45496aca97c,ab0da785290cd05acc2830873c86cca61619486d
SECBENCH,,https://github.com/curl/curl,curl,curl,d3d871cb4fe1512b689bb29cb49473cfcf91c684,1813a77b024d03b59fe5b591a5c5ecced02a9e66,e82a5758945ae1ab2fd80717e78827341bd60825,773a8fe598149531294dae6def5ccfaf996debb5
SECBENCH,,https://github.com/fruux/Baikal,fruux,Baikal,95b18da309438712ffec7e8c1f20984b9ec1e232,1896af0a45ef30f2a3048a5decb838c2c1da5608,36c912d211b705ba04e3c73b44d384944107d661,5da19f22a19a169bba4b79b77450be0e5fcdf00c
SECBENCH,,https://github.com/curl/curl,curl,curl,c4e6c33b13ba2968713a468736948b6364a50810,18ca0aa9842d3fb6e0740515df7b5960fab4408e,b13b9f33319a82529bd5382a60d7de48d8b5e98c,108e5849834809789c38a5f473778e09545b2e5b
SECBENCH,CVE-2013-2174,https://github.com/bagder/curl,curl,curl,da0db499fd1fed3ab061d8c03d25c06164c9f429,192c4f788d48f82c03e9cef40013f34370e90737,2b16b8604a26815f31067a8b7b8275ae50589dc2,f6309298103a87af307b3938aceec681228ca203
SECBENCH,,https://github.com/chineking/cola,qinxuye,cola,5048d32a7de9242e20f781f749fb3d373b8a2aa8,193270fa323d3c76839b751fbf664d79f0579fde,6232bb3737cd6ae3f15ab9b3d175d988d3ab7ab8,d0ec2eb7cd7148bc3082d21061a69026862ee586
SECBENCH,CVE-2013-1445,https://github.com/dlitz/pycrypto,dlitz,pycrypto,373ea760f21701b162e8c4912a66928ee30d401a,19dcf7b15d61b7dc1a125a367151de40df6ef175,d0371286ed32131e809e859c6d6d8a5e58db9924,59fb61cfd0fd018fc763231eac6bbd59e80b72b1
SECBENCH,,https://github.com/WordPress/WordPress,WordPress,WordPress,3b1ee8f5abd84cf5ac2ed3a04614db304a6fee91,1aebecad96bf2e924f3d1970bbead03ee01eecd6,fc932087d46b0e62b1235c13b50ed20b9bd1690e,10c6b7ea9c3d14fe9e57086330e763daf7e9fa63
SECBENCH,,https://github.com/cloudius-systems/osv,cloudius-systems,osv,7166013b2927cd9a0c6bf080db07e04d4823f01b,1b880d17faf273a3a49c121a3bf65c8c0617cd1b,53e4a592e89085ea1786cf785e92e4a799283986,5c739d7ebac186ffc917e755459b39fe6fbc0288
SECBENCH,,https://github.com/phpmyadmin/phpmyadmin,phpmyadmin,phpmyadmin,d32da348c4de2379482a48661ce968a55eebe5c4,1bc04ec95038f2356ad33752090001bf1c047208,b723df0b86549d77a8f4b65e0e67354193b2767f,a3987b26549070b396e0586d8fc8a2705e66175a
SECBENCH,MDL-9288,https://github.com/moodle/moodle,moodle,moodle,c8e564f5ff6a47a93eafff3c23fba955ad508dfd,1bc6c1ed3788edfd8cc108d637f6845c6f24ac88,b52e55bb47a21fbb68fe400ce03273d895dcc45d,6d84f28553f118c2064a748194650f37e01f7128
SECBENCH,CVE-2013-3587,https://github.com/tornadoweb/tornado,tornadoweb,tornado,7279a303d1c366aabd4facfc6b29ed46c3422350,1c36307463b1e8affae100bf9386948e6c1b2308,41a94730959d641e6c2c765ca631645327805c5a,ce20498adb28f65d120e8daa3f3d2fa50aed9361
SECBENCH,CVE-2015-0290,https://github.com/openssl/openssl,openssl,openssl,7ead0c89185c46378e3ed85c0012d083f4b3039b,1d2a18dc5a3b3363e17db5af8b6b0273856ac077,df758a8569efe9e124baaa16aba4ac3fc35bbd9d,2acdef5e97977958e9bb3b4a139039599ef1aefe
SECBENCH,,https://github.com/MPOS/php-mpos,MPOS,php-mpos,5d8fecfd812bd74c320919b2e3dfd25421c17dc8,1d5e69d219144a5abaac4b56418b60b63b272d48,16636f6a39066d807ec02ddcd98464bbcd4aa8a1,4acd29f39bd67f31ad3bd848779bf1dbf57a70b3
SECBENCH,,https://github.com/owncloud/core,owncloud,core,3b9bf83fe7833c2cf8d1d9fc2f0f2a41b2a92ebc,1d6ca084a6f5414ae3bb0753500ad386c86d087c,f356894aa3f30c12cf4d6da0a98e1c0cd2881865,a7d0ab96c100a5a94b36bf7b311df02e1606a1d2
SECBENCH,,https://github.com/openstack/nova,openstack,nova,f9d23c69e25a2ce5e8c3a37d1e771d02c43cbfb5,1ea998649058f78f63a167dd697cf5f6732596ff,6bb3c0035b8323bbbd675fe00ea3a631430e9c01,4b2bd32199eeaaf32958b540ebb0bf3ade6f0b0c
SECBENCH,,https://github.com/slimphp/Slim,slimphp,Slim,20b09ca587b6f1215bb10ad39b92c2c540b2cd35,1ee41b74963b5ce23caae67582aceddb982b43db,36cdaa2f4ec4495cfa3a8cb2b354bc2b862903d3,84037433677e8e57377aa3651fd7eba1b19b341c
SECBENCH,CVE-2016-2181,https://github.com/openssl/openssl,openssl,openssl,ac9fc67a488427bc3e987f5a4c235e8fbeedf711,1fb9fdc3027b27d8eb6a1e6a846435b070980770,959f67d6a4908639adbe52ca28bc365bdff8c2b7,b2e7419a1d453bf39dbe38620a10069ec799da65
SECBENCH,,https://github.com/pfsense/pfsense,pfsense,pfsense,f17f9f2891b459e3f119ced5857469b96c57dde9,2003b5d8bc9c9b2b7aa72f4d3c4532c7349264cd,2d0177a4c9ed94d4b4f90ecf855fe12de74553b8,a60fd0cb6204afca13882b35ae1e918b58647af7
SECBENCH,,https://github.com/BradLarson/GPUImage,BradLarson,GPUImage,bc1c59a195167863548423459f9ac9e13d201c0a,202ce483fcc474a60d358bd068317a415de93f86,d2b32fec48176dcb96dcc671b27c9fb38151147e,1abf1cb27f4fc7f5fd2eaf2c14d4caa7bf111341
SECBENCH,,https://github.com/joomla/joomla-cms,joomla,joomla-cms,9bbf2be61b5738d84926a7e9bb40cd123d2961ad,21086355e63dc0514b094275df2bb224f290120d,a2342a4930cea75bf0b1ec7e655692af5cf3da0f,3a7446dcb101529a8fa87012274149c978874ecb
SECBENCH,,https://github.com/mojombo/god,mojombo,god,1f23f631322fa83353ce06f671cb9ad5a779ef4a,210907fa9a9fdf765b7241666ac93682adc372db,08afd2f031e6b96998fd3f5d4147ba9b6c0cd282,bf159c2c292203c98c09e7b7302b1afa79b2b8d7
SECBENCH,,https://github.com/scalikejdbc/scalikejdbc,scalikejdbc,scalikejdbc,0066d580d8ab21d252310bd0206fa62effa6137b,2197ff982e507355dba55883be2195d654bfbb2d,788a0055e36875d820d972a3933ab3f263ea8703,c53c6dadf72f654064b51fc38b7118f3f142ac16
SECBENCH,,https://github.com/pfsense/pfsense,pfsense,pfsense,ce0a5816476bd4703b85a30396123f13da5be174,21eff66f3199bb0c50c9ea5a9a473043dd4991a1,4c613f84820a88c9b047e554b200accab5201f24,19d9146637b36dd8cb3d42e300c44d4a8ccfe6d2
SECBENCH,,https://github.com/FFmpeg/FFmpeg,FFmpeg,FFmpeg,9244b839b788e4677019041907ff5a4378a23490,23edd41a0d6994cb5d9983d8f035e8eef78960ad,ee109c6bc2cf4aebe6202c2c9022816c968d2d00,73ad355d23ab0db0c3de098932a2691a42930ee2
SECBENCH,,https://github.com/ci-bonfire/Bonfire,ci-bonfire,Bonfire,0ecbee35eda7be4ac27beaec295673d5b47a3728,241e32380cbdfcb35ed3796fbaa59575a25aff1a,82c72aeab8e41baf8e7e43c640fea08a5118824d,7b040689d037771d9d908128417f73cbf02dc259
SECBENCH,,https://github.com/yigit/android-priority-jobqueue,yigit,android-priority-jobqueue,66363dd3c93066c8ddeb1728f25804ec2522ab09,254cd596fb0c5ab16a7259fda6a6d90ce7fb6944,c73ee211f0dd45251e0b4a735ec325d9dc85e054,dfc3b3f070fe3b11f26815d78d81f4ee71531824
SECBENCH,,https://github.com/MPOS/php-mpos,MPOS,php-mpos,8fbad03457cc1e0691b816f163b71e8c6d29f13a,256b5f59c60f89be5da5d7c89e78a56d3a6876b3,24a7085519c83458416169313458afeefb31aa49,956e8228d85fa87d7a94fda2af73bf2bcb2e92f6
SECBENCH,,https://github.com/osTicket/osTicket,osTicket,osTicket,0ed92da68bfa62f912496ff57ae3ab0e08cc5d00,25ae16b169da0a58c600da19c70bd38efdde90ed,8c641efd9178fe5e46f9d78160488e32c77633b3,0647b00a12da158f00c0a5d614b887316648fe3e
SECBENCH,,https://github.com/apache/cassandra,apache,cassandra,52430b93e502dd44f6f0e1bf097ccaaa45e74fd5,260163994e4ac71fafb0578cb143ab4f0f22d6ad,c5b02422e00aa0015d9dc399bf5ec71555b38a56,958166766558e9df367fadfc2331d2d7d3b34bd8
SECBENCH,,https://github.com/php/php-src,php,php-src,e41f600365fe9f27727a62a850a4d55416ae856f,26471eb69c3cd9e8162ff3b398d33919d9075191,ac1452b21fb03dd8233b52a81dfc1006ca4f1852,6716507cf54a409ac3d411e55c7c2c206c28bc27
SECBENCH,,https://github.com/ci-bonfire/Bonfire,ci-bonfire,Bonfire,e7800df796da60c2cac7ade0fd3949d6907e3664,26d3cccc472fca71f4e945f6bc5994dc2879c520,b4f6a483c6428fe7b1c6accffd6ee36a897e8ebc,267c0a50a2ce2623396bbd61f1e2d169d651b25b
SECBENCH,CVE-2014-9271,https://github.com/mantisbt/mantisbt,mantisbt,mantisbt,66c142dc3b652cdb07d61f2edbf3a798234ef48a,26f209a2701ad31e1563723aea48e9e577ec1087,8663867b27e337970be3a1c3e670f5f3214e3377,544e7d9a8cd138b267561e571ffa84db10282189
SECBENCH,,https://github.com/haberman/gazelle,haberman,gazelle,912eacb66a536349b3e7dd45421d492638180887,278f870414aa841d2b34a6e7b4078171f3d363c1,1378e59d19406da75b5283c7f8ed106b6a9a438d,50ef581b4189c5147f3a46d371d20fa3f3f9d18e
SECBENCH,,https://github.com/lxc/lxc,lxc,lxc,bb1d227404ff96564877a04ef9299c63f608f543,2802732032aeaabe8c793ae76112d9c8ba13ee23,74d968932956ef708a61b868a9772f8290ef970a,6810d9018d15df97d23ada452d46e81b866f7fe8
SECBENCH,CVE-2017-3733,https://github.com/openssl/openssl,openssl,openssl,cc22cd546bd0b0e1b55c1835403ab564d5f30581,28a31a0a10f41ef855cabab4e18c994c44225125,7d0effeacbb50b12bfc24df7614d7cf5c8686f51,fc97c882f443060dffd8eb56a6b8784e52096c86
SECBENCH,,https://github.com/WordPress/WordPress,WordPress,WordPress,013d15ebd41981e433121014675d744e63bfe29d,28a80ce82af438e76c4841990f98a702ace845df,5ebbe4bad2cc8125b1206c5ec205ee6d7c8bb1cd,decf135295b7ab998a6978c45370fd476cfdeb86
