Dataset,Code,Project,sha,CWE,Severity,Year,owner,project,Date,Message,sha-p,Language,Score
SECBENCH,,https://github.com/libretro/RetroArch,062433491fb6d7f90e4eba03a3d8d943dd59de70,,,2017,libretro,RetroArch,1/23/17 23:48,(task_netplay_find_content.c) Try to prevent new resource leaks,669599cfd7c2d316e9086d31e1ccaab5b5964adb,c,
SECBENCH,,https://github.com/owncloud/core,068688063eb660d35ee0dca8d3ceb53d2f243bbe,,,2013,owncloud,core,12/19/13 18:38,"Security Update: session fixation

Previous version is vulnerable to session fixation attack in some situations, guessing non-apache-module-php5 environment. Regeneration of session id should be done here.",f0da7b20c12c14e0fbd9cddfbe7c5c26d43e2607,php,
SECBENCH,,https://github.com/MISP/MISP,0687d3f6f48247fbcb510c26e0966864a8fa9081,,,2012,MISP,MISP,6/6/12 9:12,"fixed huge SQL injection vulnerability created in bruteforce protection.
Shame on me !!!",9cd1b0469d872a48afff17f5b2bfb9a6ad0ef8ee,php,
SECBENCH,,https://github.com/joomla/joomla-cms,072e9bf0f2266885f40eb23d54da636280b9b088,,,2007,joomla,joomla-cms,7/14/07 1:52,"# Checking database queries for possible SQL injections
 # Fixed database error in the 'loadmodule' content plugin which was caused by a missing/removed table
 # Fixed [#6055] Search plugins return results with access level 'special' to 'registered' users
 - Removed unnecessary database query from the administrator mod_menu module

git-svn-id: http://joomlacode.org/svn/joomla/development/trunk@7946 6f6e1ebd-4c2b-0410-823f-f34bde69bce9",f5bf6fbc15b4f2e1c30e2bf2d6eadfbaf654aff0,php,
SECBENCH,,https://github.com/cakephp/cakephp,076b6f998c42613dd64206c0a1d0d4a6e2055efb,,,2014,cakephp,cakephp,6/9/14 2:20,"Don't display errors with paths.

Errors with paths are a security vulnerability as path disclosure can
be used with other small exploits to be more useful.",2c85da44da2c9bbf6fc4a52ba990660f554d320d,php,
SECBENCH,,https://github.com/mattpass/ICEcoder,078068e2527747f5688997d5dc1293213de65bd1,,,2014,mattpass,ICEcoder,4/23/14 6:12,Don't allow directory traversal,69d8ddce7756802525bc07ac028b939e554a81ca,php,
SECBENCH,,https://github.com/dlitz/pycrypto,0782d68840d0ebf850516e606e398b8a5396eb64,,,2013,dlitz,pycrypto,12/27/13 22:44,"Add side-channel countermeasures to DSA.

This patch strenghten the DSA signing code against
side-channel attacks.

The DSA signing formulae:

r = (g^{k} mod p) mod q
s = k^{-1} * (H(m) + r*x) mod q

becomes:

b = random in [1..q)
r = (g^{k} mod p) mod q
s = (b * k)^{-1} * (b*H(m) + r*(b*x)) mod q

In this way we avoid that the secret (x) gets multiplied
by a random factor (r) which is immediately disclosed
to an attacker (which we assume can both collect (r) and
also monitor the side-channel produced by the multiplication).

See also attack DSA_2 in:

""Minimum Requirements for Evaluating Side-Channel Attack Resistance
of RSA, DSA and Diffie-Hellman Key Exchange Implementations"", BSI",f49fd0e1b57071e52200806d095679753fe36e17,py,
SECBENCH,,https://github.com/curl/curl,0796a993171f627d546c42a8fb28e906528cc688,,,2016,curl,curl,8/19/16 12:46,spnego_sspi: fix memory leak in case *outlen is zero (#970),2497c42172307485fb60100474b68c1620041df5,c,
SECBENCH,CVE-2016-4542,https://github.com/php/php-src,082aecfc3a753ad03be82cf14f03ac065723ec92,CWE-119,HIGH,2016,php,php-src,4/25/16 2:33,Fix bug #72094 - Out of bounds heap read access in exif header processing,d650063a0457aec56364e4005a636dc6c401f9cd,c,7.5
SECBENCH,,https://github.com/Pylons/pyramid,082d3b2cb9127f8acfd4d081e69c427a37bae91d,,,2016,Pylons,pyramid,2/27/16 8:59,"wiki2 authentication bug fix and improvement against timing attack
- Bytes type does not have encode method. The expected_hash retrieved from the database is a bytes object.
- Use hmac.compare_digest instead of == to avoid timing attacks as a recommended security best practice. See https://www.python.org/dev/peps/pep-0466/ https://bugs.python.org/issue21306 and https://codahale.com/a-lesson-in-timing-attacks/ for details.

  Note, however, this was not backported to py2.6. For a tutorial, I am OK with stating this will not work on Python 2.6 with a clear warning note at the start of the tutorial and on the authentication step.",a6db36c984bd69f8a6aba80ad6db435cd4b1b93c,py,
SECBENCH,,https://github.com/php/php-src,08b72ac9f12890793bc67446e4999892607bbf7b,,,2013,php,php-src,5/2/13 11:31,"Merge branch 'PHP-5.3' into PHP-5.4

* PHP-5.3:
  From code coverity scan - fix some memory leak - fix some resources leak (fd) - create fpm_worker_pool_free (shared use) - possible null dref (wp->user and wp->home can be null)",c374b80dda6e07f7dbc1e43a095c075beee6ca5f,c,
SECBENCH,,https://github.com/pfsense/pfsense,08cf5428d6fa7d080869574cee0f22e669b8db03,,,2008,pfsense,pfsense,2/22/08 0:11,"Guard against javascript injection attacks

Ticket #1656",53aca1fdc3f7683efd90472ed7be78f793eb78bb,php,
SECBENCH,CVE-2014-0081,https://github.com/josh/rails,08d0a11a3f62718d601d39e617c834759cf59bbb,CWE-79,MEDIUM,2014,josh,rails,2/12/14 1:36,"Escape format, negative_format and units options of number helpers

Previously the values of these options were trusted leading to
potential XSS vulnerabilities.

Fixes: CVE-2014-0081",f706d5f945c5751072bb90d080aff154e6858435,rb,4.3
SECBENCH,,https://github.com/grails/grails-core,08d543b74810debda7a8adb5efed41057597ad5e,dos,,2012,grails,grails-core,5/14/12 18:56,"Also cache negative uri cache lookups.

Serving views or resources which do not have a controller is pretty slow due to uri lookups on every request.
This fixes it by also caching uri looks which do not have a controller.

To avoid DOS attacks, the cache is also limited in size, and the size can
be controlled via the grails.urlmapping.cache.maxsize config property.",ba77c1be24538d86dc21aedd4d9e19373ed13ffc,java,
SECBENCH,,https://github.com/phpmyadmin/phpmyadmin,0933619b6b2534b221817ea3f631cb984c258d6b,,,2006,phpmyadmin,phpmyadmin,3/17/06 1:26,XSS vulnerability,b628fcc8a908d0fecf391cf2cc161691255dbbe6,php,
SECBENCH,TNL-2248,https://github.com/edx/edx-platform,09e1f9ed71910341b1e806466d70308162dbb832,xss,,2015,edx,edx-platform,5/21/15 22:46,"Fix XSS vulnerability in User Profile.

TNL-2248",2ba5d483fc46cf60dba99fb1122d36268cac8ee5,py,
SECBENCH,CVE-2015-0208,https://github.com/openssl/openssl,09f06923e636019c39c807cb59c481375e720556,NVD-CWE-Other,MEDIUM,2015,openssl,openssl,3/9/15 23:16,"Reject invalid PSS parameters.

Fix a bug where invalid PSS parameters are not rejected resulting in a
NULL pointer exception. This can be triggered during certificate
verification so could be a DoS attack against a client or a server
enabling client authentication.

Thanks to Brian Carpenter for reporting this issues.

CVE-2015-0208

Reviewed-by: Tim Hudson <tjh@openssl.org>",8106d61c354430d6bbbd7f8e7840a39efc0f5829,c,4.3
SECBENCH,CVE-2011-1004,https://github.com/rubinius/rubinius,0a0289086b6a9e5bf1ffb0c58dba3ff5a80800b9,CWE-59,MEDIUM,2011,rubinius,rubinius,2/19/11 2:24,"Updated fileutils.rb for 1.8 and 1.9 to fix security issue.

See http://www.ruby-lang.org/en/news/2011/02/18/fileutils-is-vulnerable-to-symlink-race-attacks/",3e134f200b26f68d6295dd809baee5e609065fd4,rb,6.3
SECBENCH,CVE-2011-3358,https://github.com/mantisbt/mantisbt,0a636b37d3425aea7b781e7f25eaeb164ac54a3d,CWE-79,MEDIUM,2011,mantisbt,mantisbt,9/4/11 3:36,"Issue #13281: Fix Projax XSS issues (unescaped value attributes)

Projax sucks. This is why it was replaced with jQuery in the master
branch. However master-1.2.x still uses the older Projax code. The
Projax library doesn't attempt to escape values before dumping them in
HTML output, thus leading to XSS issues.

The easiest workaround is to pass in already-escaped values to the
Projax functions.

This issue was reported by High-Tech Bridge SA Security Research Lab as
part of their advisory #HTB23045, available at
https://www.htbridge.ch/advisory/multiple_vulnerabilities_in_mantisbt.html",4b7492d43680729b4a0328eddc522560dd44514b,php,4.3
SECBENCH,,https://github.com/postgres/postgres,0a73f69cb4842f46c1a080b3375b0f268ba1e5de,injec,,2003,postgres,postgres,7/22/03 5:17,"Fix to prevent SQL injection attacks for code calling setObject(int,Object,int)
where Object is a user supplied String and the type is a numeric type
(i.e. INTEGER,LONG,etc).
Also applied a patch from Kim Ho that fixes compile problems under jdk1.2

 Modified Files:
 	jdbc/org/postgresql/Driver.java.in
 	jdbc/org/postgresql/jdbc1/AbstractJdbc1Statement.java",11cb598c397eaa18916c1a0f944f3ead05dab971,java,
SECBENCH,,https://github.com/curl/curl,0aabfd99631a292a72ca601ed0e83786ce9f0ae4,,,2012,curl,curl,12/25/12 12:31,curl_multi_remove_handle: fix memory leak triggered with CURLOPT_RESOLVE,14b77db1b97bb382ec97535666813dea26594bd0,c,
SECBENCH,CVE-2011-0448,https://github.com/josh/rails,0b58a7ff420d7ef4b643c521a62be7259dd2f5cb,CWE-89,HIGH,2010,josh,rails,12/7/10 17:49,"limit() should sanitize limit values

This fixes CVE-2011-0448",6b1018526fb304727ee4191afc2d8a5e29e49eea,rb,7.5
SECBENCH,CVE-2013-4491,https://github.com/josh/rails,0c7ac34aed1845044cd1911e5a775366d7ca41c1,CWE-79,MEDIUM,2013,josh,rails,10/31/13 22:50,"Stop using i18n's built in HTML error handling.

i18n doesn't depend on active support which means it can't use our html_safe
code to do its escaping when generating the spans.  Rather than try to sanitize
the output from i18n, just revert to our old behaviour of rescuing the error
and constructing the tag ourselves.

Fixes: CVE-2013-4491",bea9c9b4c0f9bb7356ea2058118fe40495432010,rb,4.3
SECBENCH,,https://github.com/unbit/uwsgi,0cb2e6852bcee02484dea06b2c5e9c8f6cbb3138,ml,,2013,unbit,uwsgi,1/27/13 11:19,"plugins/python: fix tracebaker resource leaks on import error

Reported by Coverity as CID #971061, #971062, #971063.",a559e9ea631afa9331cba77d3f1634611a6aa4ab,c,
SECBENCH,,https://github.com/php/php-src,0d1998e34ff487aab6451963d60697dd5b5b0115,hc,,2011,php,php-src,12/15/11 8:47,Added max_input_vars directive to prevent attacks based on hash collisions,2f0d084ab8228e1e5704a3fb66fb1c9cd6bd411e,c,
SECBENCH,CVE-2015-3152,https://github.com/php/php-src,0d2f147d80bd02d4d1ccaa0fa530d9d4846b3c75,CWE-284,MEDIUM,2015,php,php-src,7/5/15 7:00,Fix bug #69669 (mysqlnd is vulnerable to BACKRONYM),3e88d610e54dac75a374af9e8501f02da67e4466,c,4.3
SECBENCH,,https://github.com/Graylog2/graylog2-server,0daaecd63895bfa683656d14d8bd0c3fb42f6cfd,,,2011,Graylog2,graylog2-server,4/9/11 20:06,"Update all gems.

We are not going to make a release with Rails 3.0.1
with known security vulnerabilities, right?",2d2e6f5e99fc5f830c19fe1724899acaded2ca02,Gemfile,
SECBENCH,,https://github.com/curl/curl,0ddab51ad874b64e38e26840a916fc13f4d2ed7b,,,2005,curl,curl,2/28/05 23:54,Fix for a base64 decode heap buffer overflow vulnerability.,9798432f567f1589f1da6216e2795ab10b733128,c,
SECBENCH,,https://github.com/FFmpeg/FFmpeg,0eaec10550bd9a0682db9f7920ed0d86f1450f4b,over,,2002,FFmpeg,FFmpeg,9/7/02 10:57,"fixing overflow in 16->8 bit conversion, patch by (Nikolai Zhubr <s001 at hotbox dot ru>)

Originally committed as revision 913 to svn://svn.ffmpeg.org/ffmpeg/trunk",b2a0a7fb8a3580897f2c9d8f2d160a5acab433e4,c,
SECBENCH,,https://github.com/rubinius/rubinius,0f37846c2e23c8453b55d0ea598d17f1cbaedc32,,,2007,rubinius,rubinius,9/30/07 6:38,Two quick memory leak fixes found with valgrind.,aee7f2b9289f4d9cf77d85281b04bae8e0f8681f,c,
SECBENCH,,https://github.com/php/php-src,0fb7618d6e74b4304d0512f5fe64770e3944dad6,,,2006,php,php-src,3/21/06 7:47,added mb_check_encoding() to detect possible invalid encoding attack.,a6bcfeccf773485657e8fd99f121a5810cfe2097,c,
SECBENCH,,https://github.com/MISP/MISP,0fff291c6758c5c36d4d600208c47268ca1a41d4,,,2012,MISP,MISP,3/31/12 19:55,fixed minor CSRF vulnerability + added google link on vulnerability type,aa8ba55daccf1f4f9b5eab07589fd9fb3df9b895,php,
SECBENCH,CVE-2015-0206,https://github.com/openssl/openssl,103b171d8fc282ef435f8de9afbf7782e312961f,CWE-119,MEDIUM,2015,openssl,openssl,1/7/15 14:18,"A memory leak can occur in dtls1_buffer_record if either of the calls to
ssl3_setup_buffers or pqueue_insert fail. The former will fail if there is a
malloc failure, whilst the latter will fail if attempting to add a duplicate
record to the queue. This should never happen because duplicate records should
be detected and dropped before any attempt to add them to the queue.
Unfortunately records that arrive that are for the next epoch are not being
recorded correctly, and therefore replays are not being detected.
Additionally, these ""should not happen"" failures that can occur in
dtls1_buffer_record are not being treated as fatal and therefore an attacker
could exploit this by sending repeated replay records for the next epoch,
eventually causing a DoS through memory exhaustion.

Thanks to Chris Mueller for reporting this issue and providing initial
analysis and a patch. Further analysis and the final patch was performed by
Matt Caswell from the OpenSSL development team.

CVE-2015-0206

Reviewed-by: Dr Stephen Henson <steve@openssl.org>",1421e0c584ae9120ca1b88098f13d6d2e90b83a3,c,5
SECBENCH,,https://github.com/josh/rails,10a63e2a0cbdc1e8e4d7aef87afc868bd599ca94,,,2010,josh,rails,9/22/10 14:36,"Refactor methods in html node to avoid injects.

Signed-off-by: Santiago Pastorino <santiago@wyeworks.com>",f6de806537d60e94183f26cd6a16da426e84911e,rb,
SECBENCH,,https://github.com/Graylog2/graylog2-server,10e459de844424e3ea289eba84f963c033f76fad,,,2015,Graylog2,graylog2-server,11/8/15 0:58,"Exclude vulnerable InvokerTransformer class from commons-collections

See http://foxglovesecurity.com/2015/11/06/what-do-weblogic-websphere-jboss-jenkins-opennms-and-your-application-have-in-common-this-vulnerability/#thevulnerability for details.

(cherry picked from commit 2c05e823ec11705ce63c8767a35c2fed95027726)",0a038a4dad382499e0b8b5694d7d2d8c5635cef6,xml,
SECBENCH,CVE-2016-5364,https://github.com/mantisbt/mantisbt,11ab3d6c82a1d3a89b1024f77349fb60a83743c5,CWE-79,MEDIUM,2016,mantisbt,mantisbt,5/27/16 9:39,"Fix XSS in custom fields management

Kacper Szurek (http://security.szurek.pl/) discovered an XSS
vulnerability in Custom fields management pages, caused by unescaped
output of 'return URL' GPC parameter. His report describes two ways to
exploit this issue:

1. using 'accesskey' inside hidden input field (see [1]) reflects XSS to
   the administrator in manage_custom_field_edit_page.php when the
   keyboard shortcut is actioned
2. using 'javascript:' URI scheme executes the code when the user clicks
   the [Proceed] link on manage_custom_field_update.php after updating
   a custom field

This commit fixes both attack vectors:

- properly escape the return URL prior to printing it on the hidden form
  field
- let html_operation_successful() sanitize the URL before displaying
  it, just like html_meta_redirect() does. In this case, if the
  string contains an URI scheme, it will be replaced by 'index.php'

[1] http://blog.portswigger.net/2015/11/xss-in-hidden-input-fields.html

Fixes #20956",ecd12610576e71764a318d8ead1c753ab7a30d16,php,4.3
SECBENCH,CVE-2013-2061,https://github.com/OpenVPN/openvpn,11d21349a4e7e38a025849479b36ace7c2eec2ee,CWE-200,LOW,2013,OpenVPN,openvpn,3/19/13 12:01,"Use constant time memcmp when comparing HMACs in openvpn_decrypt.

Signed-off-by: Steffan Karger <steffan.karger@fox-it.com>
Acked-by: Gert Doering <gert@greenie.muc.de>
Signed-off-by: Gert Doering <gert@greenie.muc.de>",9a3f670248d6f519a399e65a7232e2196b5115db,c,2.6
SECBENCH,CVE-2010-4180,https://github.com/nginx/nginx-releases,12368999b3ed45cde5e4cea8ea985d4444dcd932,NVD-CWE-Other,MEDIUM,2010,nginx,nginx-releases,12/6/10 11:36,"Changes with nginx 0.9.2                                         06 Dec 2010

*) Feature: the ""If-Unmodified-Since"" client request header line
support.

*) Workaround: fallback to accept() syscall if accept4() was not
implemented; the issue had appeared in 0.9.0.

*) Bugfix: nginx could not be built on Cygwin; the issue had appeared
in 0.9.0.

*) Bugfix: for OpenSSL vulnerability CVE-2010-4180.
Thanks to Maxim Dounin.",27294215f36bb3c0e2ed2f438f615efc2bc67260,c,4.3
SECBENCH,,https://github.com/curl/curl,1238edaeaf947b896aafd9ddffc8430dea179c3a,,,2011,curl,curl,1/10/11 12:53,"SSL: fix memory leak

In OOM situation. Follow-up fix to commit a9cd4f4ed49e1a0.",a9cd4f4ed49e1a0b79f8fc6a0cb129331fa04f23,c,
SECBENCH,CVE-2014-3506,https://github.com/openssl/openssl,1250f12613b61758675848f6600ebd914ccd7636,CWE-399,MEDIUM,2014,openssl,openssl,6/6/14 21:25,"Fix DTLS handshake message size checks.

In |dtls1_reassemble_fragment|, the value of
|msg_hdr->frag_off+frag_len| was being checked against the maximum
handshake message size, but then |msg_len| bytes were allocated for the
fragment buffer. This means that so long as the fragment was within the
allowed size, the pending handshake message could consume 16MB + 2MB
(for the reassembly bitmap). Approx 10 outstanding handshake messages
are allowed, meaning that an attacker could consume ~180MB per DTLS
connection.

In the non-fragmented path (in |dtls1_process_out_of_seq_message|), no
check was applied.

Fixes CVE-2014-3506

Wholly based on patch by Adam Langley with one minor amendment.

Reviewed-by: Emilia Käsper <emilia@openssl.org>",11e7982a7cc6cbbcbb13046ceed37639c26a0bc1,c,5
SECBENCH,,https://github.com/forkcms/forkcms,1269fe8b3813c7b7d5552a2b88bc2e7bd4d0c1f9,,,2012,forkcms,forkcms,2/28/12 17:35,fix xss vulnerability,e45964aa7ed3621df4963991d3df03bbd3d6b8ec,php,
SECBENCH,,https://github.com/curl/curl,12e78a082eeb116c528572e6de51b7c4a0eb1bf1,,,2003,curl,curl,8/8/03 17:18,Gisle Vanem fixed a single-byte overflow,9273096a8ab7e31921550b9f7b08eb2b32dcc35e,c,
SECBENCH,CVE-2014-9571,https://github.com/mantisbt/mantisbt,132cd6d041f8ef5811e4eca8bdb516c893ebb52e,CWE-79,MEDIUM,2014,mantisbt,mantisbt,12/27/14 17:47,"Fix XSS in install.php

This vulnerability (CVE-2014-9571) was reported by High-Tech Bridge
Security Research Lab (https://www.htbridge.com/) in issue #17937
(advisory ID HTB23243).

The parameters are now properly sanitized before being displayed.

Fixes #17938",7cc4539fca65a61c48a40e31787e7d4751a7f9bd,php,4.3
SECBENCH,,https://github.com/curl/curl,1343756742463488c63453723b2bfe002e45c47f,ml,,2014,curl,curl,5/9/14 11:33,"cacertinmem: fix memory leak

While ""just"" an example it still isn't nice to leak memory.

Bug: http://curl.haxx.se/bug/view.cgi?id=1368
Fixed-by: Marko",ec9fa4f6b372e4e77fa741788e37a820bfa2ffc2,c,
SECBENCH,,https://github.com/Pylons/pyramid,13906d6a2eb8c852d32752dca9e06e7d203d86d8,,,2011,Pylons,pyramid,10/15/11 0:14,"Avoid timing attacks in AuthTktAutenticationPolicy

This factors out the timing-invariant string comparison code from
session.py and re-uses it for signature checking in AuthTkt code.",5a20b131b921362785dda87409ca8eb3a1a9c6a1,py,
SECBENCH,CVE-2012-0884,https://github.com/openssl/openssl,146b52edd122f55e2b2bfeb486dae8dbe96f739e,CWE-310,MEDIUM,2012,openssl,openssl,3/12/12 16:31,"Fix for CMS/PKCS7 MMA. If RSA decryption fails use a random key and
continue with symmetric decryption process to avoid leaking timing
information to an attacker.

Thanks to Ivan Nestlerode <inestlerode@us.ibm.com> for discovering
this issue. (CVE-2012-0884)",13747c6fdabbba33cb187a133548b73d41ae282d,c,5
SECBENCH,,https://github.com/cakephp/cakephp,1545b730ae756c2e565083fc66624cc9fb949f35,,,2007,cakephp,cakephp,10/17/07 17:08,"Escaping value for FormHelper::textarea() and adding some tests, fixes #2921

git-svn-id: https://svn.cakephp.org/repo/branches/1.2.x.x@5778 3807eeeb-6ff5-0310-8944-8be069107fe0",ae3d082dd6e29607518e557590ae74b7d525ff60,php,
SECBENCH,,https://github.com/moodle/moodle,16303ee90546962c473829418f4cba207c164dd6,,,2005,moodle,moodle,12/28/05 19:05,fixed session fixation prevention that was broken after cookieless patch SC#205,9e1c2ba45c1672cd47e6f81cdcda61712c5cf956,php,
SECBENCH,,https://github.com/josh/rails,16669774903dd7bfaaf1bf8f0c72e49ebaeffeeb,,,2005,josh,rails,7/11/05 5:17,"Script.aculo.us: latest rev, new autocompleter features, memory leaks fixed #1695 [Thomas Fuchs]

git-svn-id: http://svn-commit.rubyonrails.org/rails/trunk@1810 5ecf4fe2-1ee6-0310-87b1-e25e094e27de",1911f8eee928915f1020753a4a3ba34c81131a66,rb,
SECBENCH,CVE-2017-6799,https://github.com/mantisbt/mantisbt,1677251434b6e8b2be8f1d4376a3e78f7be14d95,CWE-79,MEDIUM,2017,mantisbt,mantisbt,3/9/17 23:24,"Fix XSS in view_filters_page.php

The value of the view_type parameter was not sanitized before being
displayed as a hidden input.

This vulnerability was reported by Etienne Landais.

Fixes #22497",c26b34b6cf24f69ece52d3409fd16d659a767fc9,php,4.3
SECBENCH,,https://github.com/cakephp/cakephp,17e4eee73d84dbc5a65a4b9fae2adafdf6d46e45,,,2013,cakephp,cakephp,7/2/13 1:51,"Hash passwords even when users don't exist.

Not hashing passwords when users don't exist means there is an
opportunity for timing attacks when people use blowfish or other
expensive hashing algorithms.",2219991d3b166d2ecaa49ad5b78b0380aca9df2f,php,
SECBENCH,,https://github.com/curl/curl,1813a77b024d03b59fe5b591a5c5ecced02a9e66,,,2014,curl,curl,2/14/14 7:20,"dict: fix memory leak in OOM exit path

Bug: https://github.com/bagder/curl/pull/90",d3d871cb4fe1512b689bb29cb49473cfcf91c684,c,
SECBENCH,,https://github.com/fruux/Baikal,1896af0a45ef30f2a3048a5decb838c2c1da5608,,,2014,fruux,Baikal,1/21/14 15:14,"Improve application security

- Make session cookies only available via HTTP (prevent access from JavaScript)
- only log PHP errors instead of displaying them in production.
  Displaying errors may give attackers hints how to exploit the application

Set HTTP headers:

X-Frame-Options: DENY
Prevent Clickjacking attacks, see: http://en.wikipedia.org/wiki/Clickjacking

X-Content-Type-Options: nosniff
Prevent code injection via mime type sniffing

Former-commit-id: 4ca925874c0e9acdcd431dc2feba46bc6b434b85",95b18da309438712ffec7e8c1f20984b9ec1e232,php,
SECBENCH,,https://github.com/curl/curl,18ca0aa9842d3fb6e0740515df7b5960fab4408e,,,2013,curl,curl,10/15/13 18:48,usercertinmem: fix memory leaks,c4e6c33b13ba2968713a468736948b6364a50810,c,
SECBENCH,CVE-2013-2174,https://github.com/bagder/curl,192c4f788d48f82c03e9cef40013f34370e90737,CWE-119,MEDIUM,2013,curl,curl,5/19/13 21:24,"Curl_urldecode: no peeking beyond end of input buffer

Security problem: CVE-2013-2174

If a program would give a string like ""%FF"" to curl_easy_unescape() but
ask for it to decode only the first byte, it would still parse and
decode the full hex sequence. The function then not only read beyond the
allowed buffer but it would also deduct the *unsigned* counter variable
for how many more bytes there's left to read in the buffer by two,
making the counter wrap. Continuing this, the function would go on
reading beyond the buffer and soon writing beyond the allocated target
buffer...

Bug: http://curl.haxx.se/docs/adv_20130622.html
Reported-by: Timo Sirainen",da0db499fd1fed3ab061d8c03d25c06164c9f429,c,6.8
