owner,project,sha,sha-p,language,pattern,year,reported,sha_p
nextcloud,server,df0e72d8d9485a08d6d60261538d9d5a63aa266e,e5d78a35231d1412aa7427f061aacdf73d92a796,php,csrf,2016,1,d1afbedc5fa34653e3019ab254d4ed7a8d046617
josh,rails,e3623bd9ed71e289078cefad4204f38d2fdf9188,0ee1cb2cd32bfaf47deaf5440dd5b9cf0915ab6a,ruby,auth,2007,1,eab71208db1afead6803501c8d51d77625e5ad6e
realm,realm-cocoa,67e396d5511604a8b2793ad9a314db5e1cbd6d73,9a623ef0e43e8f0bcd829393e1737f4b6de82e71,objc++,ml,2014,1,f1d718c4c789d23a4c50cc9b782ad86a5c4400b6
naver,pinpoint,83f4e1dc9b870635f5286f66223c340ac3028a12,a3911e078b58ed029c7944a5e65e1daa050fa2e0,others,ucwkv,2016,1,a189e79610ab5da0b8996fae936b25788da506a7
vanilla,vanilla,20d648b1f29358daf2e1211ef85827fdb224060d,0a22506c76ac419d390d5d1bde5ec5f48b195358,php,sde,2011,1,df04f339a7ff0880051f14c97b5a06efdd9354e5
curl,curl,07b9826541ec429433495d237301d59a5d8bfd22,a9cd4f4ed49e1a0b79f8fc6a0cb129331fa04f23,c,ml,2011,1,13505dcb5573e256fd14daf97afefb8b9a7c6263
curl,curl,7e46061cac2ba460c337d9ec89e06c32a5e97d99,716302c2cd59f96ecd96f949db92576d204cabae,c,rl,2016,1,7b79c8bf96658b2c657769d3945ea2e943b9fef9
josh,rails,817e37013610c8e8866197594d5e408b4d5daec5,d3bbb23b2fdc6f597410e83e604d4919174aaa27,ruby,ucwkv,2012,1,ed2eb6fa87d1eaffa137ca38ab04b41dfd6d501b
scalikejdbc,scalikejdbc,ea6ff980300f18f1fefa36307652fecd5b65f2dc,0066d580d8ab21d252310bd0206fa62effa6137b,scala,injec,2013,1,550ae73ff639f75268b9322e7d2e560ba2e71d2b
josh,rails,236f0bb67adecbc1e6dac5258e4a8cb310ffd7a4,05d4653cef1c1d8d77228de26d55cf6d6a0ce20b,ruby,ml,2011,1,0cbdd96c349c56c47299ca3c2bfa5d8c4f5e5a11
google,google-authenticator,6638f7623e4802437e32f481a44d8d428399411a,a096a628455a05c5ff3b651e6aeb1dad9a646742,c,iap,2014,1,f2db05c52884e4d6c3894f5fd2cf10f0f686aec2
curl,curl,8274bee963851e4c620e9cba73f8fa6e2069da1d,cea1fd7a9414b628e3b462b08ee3b64f24a689d1,c,misc,2016,1,60aa975610b2e72a6625888bb530a032963b2e9c
mantisbt,mantisbt,400582a6c8c4110a1d28ca82c3d8af9fa82908db,b35d343671688056efcb63c31b7ac7e177eedcdd,php,xss,2014,1,d5d9029108aeadaf3a8afdc75bbda5b962bcb0e5
moodle,moodle,ba62015b8e88989eafc4d27ce44f85a7d9f88662,d371392a7be7ccb03dc589977e01f3a156661cdf,php,injec,2007,1,9b78f0e98bd57ce4f0c29ff1d4e7e0a789f0becd
MISP,MISP,55f19fa2609722dd86c60f30f556d3ed8ad08e0d,71b24464699b093753c3a663f6c19d45de57460e,php,auth,2016,1,444b24ac73c7d8a33e8d8e27afe05577ddadc86a
tornadoweb,tornado,9d1af05323f9a7941e2336ce50972de65e18bcdd,2b0684028a9ca38318ce5038fa611e7274576e22,python,dos,2010,1,5fb6e3952c67fb9c36c920613e3adaf43d4510e7
curl,curl,b45d50ccc26e172dbad499c258c2bf70777f9026,2497c42172307485fb60100474b68c1620041df5,c,ml,2016,1,78e0ba82b01a8fe63f3413f2fa89b63b09b7c535
josh,rails,eb9816831367f709e190b385717814b5d985fbc9,3a0b6c8e135e268c1550f93db1b63ba27457dec2,ruby,ml,2013,1,68aea29cf5e5b856fdfa0b3087bf68cbd6310bd6
timburks,nu,7e3a0935e2a47d45fc054c41d587ae2090017286,8186b9cdaf1906f4bfa2a92229e2f95320e5d510,objc,ml,2008,1,df78ec3ef832d63c045507501c45270bfd11433e
facebook,fresco,ac3267a73009eca3ee2882737ab1665f4c8590f2,6f92497f95bdfaef08ea69ba08453bb3094eb27c,java,rl,2017,0,0a769fded38c4adcc8f09f1998758e74c65d8b5c
jspahrsummers,libextobjc,1bc0e23bab2283daf6df78935291b006e7be725a,01a5c0372e4a14885916135997c846bf26b33348,objc,ml,2010,1,73a0d91622902b322631ed27ee8eca47f8e8e15c
forkcms,forkcms,f170c084e7abd1be65738b0914b617544049f769,814f9bfa70c31421b7b9146bf96ea8e3a6bd3fa2,php,xss,2017,1,976c08d3d2489457036430a6caaf60aa9e2d6842
vanilla,vanilla,97a4e08541bfa991aadf5285a9778cb57344f81b,53c917efc533422be7752b2b5db81193f4401359,javascript,xss,2011,1,d3ad0d54ba9e9ff10c2cee2e7b4e8de79f09e8ba
realm,realm-cocoa,5fff69825c0d10642a9b7b1f5ba1a122edec505d,946e0a4a2e59a3bdf22c9a9220c1746b6bbdc022,objc++,ml,2014,1,c660c62ccb121b0fb41434f88fee2d719569661f
splitbrain,dokuwiki,06c9ee33a6fa99795455452d90a155e58f1297d7,041d1964bde2693df05726690877835ddae4e83e,php,injec,2006,1,f044e619e1799e282051b9a4ec2c4709262ac7f3
scala,scala-dist,83897e2bbaac16743904ec7087a34b0fa593dd0b,5379de92c562ff3646e78ecb938d31bebcabce10,others,sde,2017,1,b20251b1173a7ddf575750641c86a09cb6921a8e
cakephp,cakephp,ed4894eef2c68f9fe4444a891570d868d29af51a,c4031bfd0a45420ef17a4a3eec45971c28e8e31f,php,pathtrav,2015,1,ef490bbd705af9ebdf73aa7aa4c33b754386adf8
mpv-player,mpv,905d5efded7ed1c0cd7d327fc9a734de79407ec8,8e4eee9a9adc0b40b0ad7f182808c77bf24f7c47,c,rl,2016,0,87718384082a88a660f66d2de30421a93bf67293
cakephp,cakephp,ddcfd3e6281e7bac4f6940f161078690f11063e9,49c11a821945513a5f8e44f52561ace6ba76e3c7,php,pathtrav,2009,1,f4ffbedecdd0e4c618ec41fbf362ce4ea8214f05
Codiad,Codiad,99db82889c13420944480b87fd3d6088d04ab831,7b01d10681845cdf36e9b7641f91debe75c44eb2,php,injec,2015,1,f75e4e7919b368b079ed796428d668fb5ea9ee5c
mantisbt,mantisbt,024645e79547766620e05f7cb67ca0fe6f680bb3,e1ac36d37af93685cc8203d4dc930cbed047e744,php,xss,2008,1,9f9a3384aaf5b28461e147c5dcc2c2df032e37d9
ci-bonfire,Bonfire,b4f6a483c6428fe7b1c6accffd6ee36a897e8ebc,e7800df796da60c2cac7ade0fd3949d6907e3664,php,xss,2012,1,267c0a50a2ce2623396bbd61f1e2d169d651b25b
josh,rails,5ef8a81b846120b51b35503f5c2079036b321630,c6372d604952a8eef16ce73a06814aa143b94779,ruby,ml,2010,1,934706a8da461a73fe429b3fcaa0e2ab055a9195
josh,rails,fbed63aef056a2fbf9cf1eb846e7f8948001601c,08d0a11a3f62718d601d39e617c834759cf59bbb,ruby,injec,2014,1,fcade9f4d20295a197675c8632d10edd5ca66c79
WordPress,WordPress,1cb39b180f8c1f20447e25c832e2286584e97d9b,60de32b047a658529d049e7e541ba7105cbdbcee,php,xss,2009,1,dc0e7e1a797d028325c7fc3a7ef47c83d0168cb8
forkcms,forkcms,6ede060b16c8c8a9438f75519dec220b870df4b7,a9d22fb220777aa4890b2901f39e1c56b39b43ec,php,xss,2017,1,4283345623bbaa1565ee953bd083ef6140892cbd
mantisbt,mantisbt,12a7f8342b9df21b694a7c0bf23f251230add2ad,8961a6670e5baba75445e8a23331ab82e1d7618c,php,sde,2014,1,d4fdefa23459a95500c233b8fa3deba75957f5dc
WordPress,WordPress,f6c86216a633180af7f732e8cff42e6f09b25954,91d7e604f2591371481831434823e6d44d5f830d,php,sde,2004,1,8dfca9ba1c2a4b511f2cd485dc53e48c0c9e0218
curl,curl,075c534270421964e1c4709e4f87a99e31d1f1d1,38ed72cd3733e0d809c4b7023151d3f06e7274ef,c,sde,2012,1,f317f8b149c170be732670f8239812854e8c0f03
neo4j,neo4j,Error,a077134d2ee35b5340b5728603135148d6eb901b,java,rl,2013,0,Error
moodle,moodle,d74bb0971e4a9b18e53f116f20c5f8fa9446854d,e08de1b4954f984e96961cb5c7ca150079d9d92f,php,injec,2010,1,83575729b68a46d15e3243a4c974b172f527f9d0
owncloud,core,24b4806af4a9b485b4b9a772809d118e91c6d97f,5e711f37ca3f009317a3c8cd0e47ed4f15922142,php,auth,2011,1,8793acfb4e751cfdb464d259de45249cec5d6398
josh,rails,6f429f375e43529f2dd1a2f37cbaabeef40c6ea9,1879c259b870938c42d5d52f63123bfa0b8c81c8,ruby,misc,2014,1,0e1f7e0058bc06d9a9356f5b2a1e06447c024f46
cakephp,cakephp,17be6d04725afcc92d56a51e77e170268886fff9,aae0f762dd19c5bc2d171d7c8b06d63bebebe381,php,xss,2013,1,7bf08fdcc724ef203df8a5fb92bc495e72ee4d65
moodle,moodle,d7d7ca2ea149c76e401011a0d2307cc273c854a2,3f08e9b98a4ef39a5ce4aca110aecaa3bc873b7c,php,xss,2015,1,4d1b76ee36e6430aab7227952365719e2030c2c0
openssl,openssl,d5a25ae0deeabc9baaacef64f4c23fbd0c2d67e9,d3cc5e610d1719a35cda52c9152134b490a8c944,c,dos,2015,1,c036e210f3339fc30fa88da4bd78753c6e643eaa
vanilla,vanilla,e8d7868fe1a5fa96a4a06b6e2295589ebf2c1f95,f3fe692c30a27506efe5c30da94c49345569359c,javascript,ucwkv,2015,1,c5e0da81b10a151baa2778caeb333617809270d6
lxc,lxc,223b1e0c874181883d0f75f9d7e7f80a67f85faf,2802732032aeaabe8c793ae76112d9c8ba13ee23,c,rl,2013,0,da289b2c34beb8d590256765a3455f70eaecd61a
openssl,openssl,52c4c51f02c1bec0440f520aa98765072d1f0286,d9f0016bc57ac680d30aa1f32c9aef91acfe5aa4,c,ml,1999,1,767712fa62eeff0ac6cb9ea6fdc186040f17279d
mattpass,ICEcoder,6aa2d0e533c1d5f23d5089b1ef1997a148a4f600,ec44407e25b15bf70c734cae759092456d0e5c87,php,pathtrav,2014,1,82b6af34caf2e0144e2e24f66afd7e022a292480
MISP,MISP,6711c7441ff646759fe5a7fef93fcd7789c88bf2,6d1dc6df95c25d256115b852fa68f5d7594b3b7a,php,bac,2013,1,5d7aa73e27a37b4c10181bc80775460bdf5bd681
zxing,zxing,5edd5dab7795cca962cb01f569482b6324552efd,1f2699c196285fd2a898478413dbde20b63d6d73,java,misc,2008,1,96025842a1ed1299588b88b6e4de3a1e25f5c2d9
pfsense,pfsense,4c613f84820a88c9b047e554b200accab5201f24,ce0a5816476bd4703b85a30396123f13da5be174,php,xss,2007,1,19d9146637b36dd8cb3d42e300c44d4a8ccfe6d2
splitbrain,dokuwiki,056cb2ccb4da10b9edc056f5ad283299f4524416,1ee9b48eeac0acdc23d10bc12e2efa22a01f9989,php,misc,2014,1,31a282e6ace8a86635e16de12e522686a8e947ce
vanilla,vanilla,f8dc9e5d35a0ae1b7c55235d71961b9970aef612,c3245a10878c9cb095a79e4581640995f43c3b4c,php,misc,2010,1,ac853b2061f2e26d72dbac8a2153be812ed75c38
technoweenie,restful-authentication,68cbb447208e1a9cf6d82e961aad2c129bd0d455,c855a1653ee6fe2b112e041ff92ce1aa507434d6,ruby,auth,2008,1,e9e046262d06f30765f0030202179250d3b07a1f
churchio,onebody,Error,04b1ebb7ee3a0d98705a82e792ab66b6dfbabdc0,ruby,auth,2007,1,Error
edx,edx-platform,dab4728ff38c80d1ba2976f72dd693b5d4f498fe,4d656061becf7b92dd4de3cc9baf7460ac729386,python,bac,2013,1,888e817e72da1b15ee585bd5ad7fbf72cfd0b8dc
mozilla,kuma,be2bad79e9eafd76b214a3a259c9ca0d538748bf,e43ed532e9623eeea4a492c7477c76acf8a2f995,python,xss,2016,1,a09ca68afeb18f292a93abe27c55a6f85de0fa65
churchio,onebody,Error,c603d8898d1ea01315178914f4e7d63a6f9e0b26,ruby,ucwkv,2010,1,Error
mojombo,god,02f914446716f7661abb43255539ae89e9d7c615,c173cedd248239b82f5e432b355a58e859d04b21,ruby,ml,2009,1,1fc6238ba8720f087bec3e88b7e7ea55a43dc349
josh,rails,2409c61661f0b1c4f946a99c215cc4b4635c0cd6,6ea48ebfa68947ad66a516bdb7452e0faf3f70a7,ruby,dos,2013,1,d0926d3d5e8ad9378c5f976db819d8c949314b59
rubinius,rubinius,9d4a864d2976e679259ede9da9bdc2e57331b91d,75842e976ec1db29b3719101c7fd3cca4df1a00c,c++,ml,2013,1,e6de6cff78b76ad6c79c2fd2586022558f315270
php,php-src,85b00d1dd4309b48bec3011f96609f9598c02ec7,d82d68742c69fc20a5180a2dbcca4cac52435931,c,misc,2015,1,02f8e3770d86696dc65ff3eee5762c92b5732a88
fruux,Baikal,7fbda2291a2b53235130a24e3b29015b101e1023,95b18da309438712ffec7e8c1f20984b9ec1e232,php,injec,2014,1,1141d0f474167cfeb9ee685e7683a714c44f24c5
