Dataset,Code,Project,sha,CWE,Severity,Year,owner,project,Date,Message,sha-p,Language,Score,main_fix,main_prev,diff,Write Short Units of Code-fix,Write Short Units of Code-prev,Write Short Units of Code-diff,Write Simple Units of Code-fix,Write Simple Units of Code-prev,Write Simple Units of Code-diff,Write Code Once-fix,Write Code Once-prev,Write Code Once-diff,Keep Unit Interfaces Small-fix,Keep Unit Interfaces Small-prev,Keep Unit Interfaces Small-diff,Separate Concerns in Modules-fix,Separate Concerns in Modules-prev,Separate Concerns in Modules-diff,Couple Architecture Components Loosely-fix,Couple Architecture Components Loosely-prev,Couple Architecture Components Loosely-diff,Keep Architecture Components Balanced-fix,Keep Architecture Components Balanced-prev,Keep Architecture Components Balanced-diff,Keep Your Codebase Small-fix,Keep Your Codebase Small-prev,Keep Your Codebase Small-diff,Automate Tests-fix,Automate Tests-prev,Automate Tests-diff,Write Clean Code-fix,Write Clean Code-prev,Write Clean Code-diff
SECBENCH,CVE-2012-2660,https://github.com/josh/rails,060c91cd59ab86583a8f2f52142960d3433f62f5,CWE-264,MEDIUM,2012,josh,rails,5/30/12 22:13,"Strip [nil] from parameters hash.
Thanks to Ben Murphy for reporting this!

CVE-2012-2660",9340f89849606dba02f44038171f3837f883fd4e,rb,6.4,11425.59808,11431.38667,-5.788587663,14896.47007,14882.47007,14,13610.45963,13596.45963,14,25819.32143,25806.32143,13,15490.15633,15476.15633,14,18284.86682,18331.86247,-46.99565495,-41816.85526,-41720.89474,-95.96052632,27167.56178,27154.49148,13.07030464,0,0,0,0,0,0,40804,40787,17
SECBENCH,,https://github.com/MISP/MISP,0614db919e0cb0f463354aedb4bd20f1a8d4cf0b,CWE-668,,2013,MISP,MISP,5/22/13 8:52,fixes information leakage vulnerability on REST XML outputs,62a3da46f2aeb728544665c51bb39172df2196bd,php,,-57177.17829,-57180.91151,3.733218453,-200819.7114,-200823.3057,3.594271779,-415288.9372,-415350.9809,62.04371964,-514707.75,-514705.75,-2,32786.46158,32800.83545,-14.37387387,131128.8472,131131.8472,-3,133759.7237,133762.7237,-3,130360.5832,130363.5151,-2.931933018,0,0,0,0,0,0,131009,131012,-3
SECBENCH,,https://github.com/libretro/RetroArch,062433491fb6d7f90e4eba03a3d8d943dd59de70,CWE-664,,2017,libretro,RetroArch,1/23/17 23:48,(task_netplay_find_content.c) Try to prevent new resource leaks,669599cfd7c2d316e9086d31e1ccaab5b5964adb,c,,-305812.8421,-305809.6349,-3.207142857,-646360.7486,-646360.7486,0,-1502991.776,-1502991.776,0,-177496.9643,-177464.8929,-32.07142857,-710564.1227,-710564.1227,0,-184193.1912,-184193.1912,0,-429701.5921,-429701.5921,0,227219.9737,227219.9737,0,0,0,0,0,0,0,365960,365960,0
SECBENCH,,https://github.com/owncloud/core,068688063eb660d35ee0dca8d3ceb53d2f243bbe,CWE-384,,2013,owncloud,core,12/19/13 18:38,"Security Update: session fixation

Previous version is vulnerable to session fixation attack in some situations, guessing non-apache-module-php5 environment. Regeneration of session id should be done here.",f0da7b20c12c14e0fbd9cddfbe7c5c26d43e2607,php,,3047.311788,3046.593009,0.718778467,-180671.0793,-180671.3261,0.246830723,-40948.86357,-40949.86357,1,32592.85714,32591.85714,1,25465.10042,25464.10042,1,28638.13931,28637.13931,1,8588.25,8587.25,1,76576.71382,76575.77287,0.940953943,0,0,0,0,0,0,80232,80231,1
SECBENCH,,https://github.com/MISP/MISP,0687d3f6f48247fbcb510c26e0966864a8fa9081,CWE-89,,2012,MISP,MISP,6/6/12 9:12,"fixed huge SQL injection vulnerability created in bruteforce protection.
Shame on me !!!",9cd1b0469d872a48afff17f5b2bfb9a6ad0ef8ee,php,,-57173.04165,-57175.35997,2.318319622,-188352.2351,-188355.2351,3,-389914.0255,-389917.0255,3,-500110.9643,-500113.9643,3,34287.79703,34284.79703,3,127045.0926,127042.0926,3,127542,127539,3,93199.91878,93197.73558,2.183196217,0,0,0,0,0,0,124572,124569,3
SECBENCH,,https://github.com/joomla/joomla-cms,072e9bf0f2266885f40eb23d54da636280b9b088,CWE-89,,2007,joomla,joomla-cms,7/14/07 1:52,"# Checking database queries for possible SQL injections
 # Fixed database error in the 'loadmodule' content plugin which was caused by a missing/removed table
 # Fixed [#6055] Search plugins return results with access level 'special' to 'registered' users
 - Removed unnecessary database query from the administrator mod_menu module

git-svn-id: http://joomlacode.org/svn/joomla/development/trunk@7946 6f6e1ebd-4c2b-0410-823f-f34bde69bce9",f5bf6fbc15b4f2e1c30e2bf2d6eadfbaf654aff0,php,,-33537.83093,-33560.66423,22.83329972,-156681.992,-156746.9627,64.97066872,-217733.2959,-218001.8668,268.5709461,-47335.32143,-47252.17857,-83.14285714,-54199.1664,-54240.03577,40.86936937,-4696.966496,-4680.966496,-16,-55572.44737,-55556.44737,-16,92666.88025,92681.81538,-14.93512988,0,0,0,0,0,0,108174,108190,-16
SECBENCH,,https://github.com/cakephp/cakephp,076b6f998c42613dd64206c0a1d0d4a6e2055efb,CWE-668,,2014,cakephp,cakephp,6/9/14 2:20,"Don't display errors with paths.

Errors with paths are a security vulnerability as path disclosure can
be used with other small exploits to be more useful.",2c85da44da2c9bbf6fc4a52ba990660f554d320d,php,,13793.33417,13792.5614,0.772773207,-3931.898672,-3932.898672,1,-13301.9597,-13302.9597,1,20400.75,20399.75,1,16968.64414,16967.64414,1,20102.81783,20101.81783,1,36797,36796,1,24249.48812,24248.76038,0.727732072,0,0,0,0,0,0,36648.5,36647.5,1
SECBENCH,,https://github.com/mattpass/ICEcoder,078068e2527747f5688997d5dc1293213de65bd1,CWE-22,,2014,mattpass,ICEcoder,4/23/14 6:12,Don't allow directory traversal,69d8ddce7756802525bc07ac028b939e554a81ca,php,,-301.0483589,-301.0483589,0,-3911.14201,-3911.14201,0,-13577.10655,-13577.10655,0,2417.535714,2417.535714,0,-1398.917594,-1398.917594,0,2918.680912,2918.680912,0,3048.842105,3048.842105,0,4181.62383,4181.62383,0,0,0,0,0,0,0,3310,3310,0
SECBENCH,,https://github.com/dlitz/pycrypto,0782d68840d0ebf850516e606e398b8a5396eb64,,,2013,dlitz,pycrypto,12/27/13 22:44,"Add side-channel countermeasures to DSA.

This patch strenghten the DSA signing code against
side-channel attacks.

The DSA signing formulae:

r = (g^{k} mod p) mod q
s = k^{-1} * (H(m) + r*x) mod q

becomes:

b = random in [1..q)
r = (g^{k} mod p) mod q
s = (b * k)^{-1} * (b*H(m) + r*(b*x)) mod q

In this way we avoid that the secret (x) gets multiplied
by a random factor (r) which is immediately disclosed
to an attacker (which we assume can both collect (r) and
also monitor the side-channel produced by the multiplication).

See also attack DSA_2 in:

""Minimum Requirements for Evaluating Side-Channel Attack Resistance
of RSA, DSA and Diffie-Hellman Key Exchange Implementations"", BSI",f49fd0e1b57071e52200806d095679753fe36e17,py,,3688.64616,3690.030603,-1.384443692,-14735.00044,-14733.68906,-1.311378031,-4939.942679,-4946.80273,6.860050891,2437.357143,2425.357143,12,-356.7432432,-277.7522523,-78.99099099,15058.90915,15046.90915,12,16493,16481,12,9405.881665,9394.283784,11.59788121,0,0,0,0,0,0,13523,13511,12
SECBENCH,,https://github.com/curl/curl,0796a993171f627d546c42a8fb28e906528cc688,CWE-401,,2016,curl,curl,8/19/16 12:46,spnego_sspi: fix memory leak in case *outlen is zero (#970),2497c42172307485fb60100474b68c1620041df5,c,,-73272.62232,-73273.65648,1.034154328,-229624.1091,-229626.1091,2,-524398.4076,-524400.4076,2,-23383.03571,-23384.03571,1,-118485.0125,-118482.4629,-2.54954955,2371.721048,2369.721048,2,-3937.605263,-3939.605263,2,74558.22587,74556.33478,1.891092829,0,0,0,0,0,0,90172,90170,2
SECBENCH,CVE-2016-4542,https://github.com/php/php-src,082aecfc3a753ad03be82cf14f03ac065723ec92,CWE-119,HIGH,2016,php,php-src,4/25/16 2:33,Fix bug #72094 - Out of bounds heap read access in exif header processing,d650063a0457aec56364e4005a636dc6c401f9cd,c,7.5,-113304.0599,-113304.0599,0,-902778.7005,-902778.7005,0,-791816.3022,-791816.3022,0,-283357.3929,-283357.3929,0,148529.3654,148529.3654,0,173474.7961,173474.7961,0,182828.6447,182828.6447,0,172066.9905,172066.9905,0,0,0,0,0,0,0,168012,168012,0
SECBENCH,,https://github.com/Pylons/pyramid,082d3b2cb9127f8acfd4d081e69c427a37bae91d,CWE-208,,2016,Pylons,pyramid,2/27/16 8:59,"wiki2 authentication bug fix and improvement against timing attack
- Bytes type does not have encode method. The expected_hash retrieved from the database is a bytes object.
- Use hmac.compare_digest instead of == to avoid timing attacks as a recommended security best practice. See https://www.python.org/dev/peps/pep-0466/ https://bugs.python.org/issue21306 and https://codahale.com/a-lesson-in-timing-attacks/ for details.

  Note, however, this was not backported to py2.6. For a tutorial, I am OK with stating this will not work on Python 2.6 with a clear warning note at the start of the tutorial and on the authentication step.",a6db36c984bd69f8a6aba80ad6db435cd4b1b93c,py,,-2268.581483,-2285.213626,16.63214286,-7051.723107,-7051.723107,0,-8018.340458,-8018.340458,0,-18562.32143,-18725.64286,163.3214286,-27288.8018,-27288.8018,0,8099.485542,8098.485542,1,5127.631579,5126.631579,1,11735.75485,11735.75485,0,0,0,0,0,0,0,13272.5,13271.5,1
SECBENCH,,https://github.com/php/php-src,08b72ac9f12890793bc67446e4999892607bbf7b,CWE-401,,2013,php,php-src,5/2/13 11:31,"Merge branch 'PHP-5.3' into PHP-5.4

* PHP-5.3:
  From code coverity scan - fix some memory leak - fix some resources leak (fd) - create fpm_worker_pool_free (shared use) - possible null dref (wp->user and wp->home can be null)",c374b80dda6e07f7dbc1e43a095c075beee6ca5f,c,,-23406.95281,-23403.19231,-3.760503596,-455209.5387,-455164.9929,-44.54573008,-202431.1143,-202432.1143,1,-28342.03571,-28343.03571,1,65922.7708,65921.7708,1,91385.27104,91384.27104,1,100207.6447,100206.6447,1,94750.47402,94749.53332,0.940694115,0,0,0,0,0,0,99647,99646,1
SECBENCH,,https://github.com/pfsense/pfsense,08cf5428d6fa7d080869574cee0f22e669b8db03,CWE-74,,2008,pfsense,pfsense,2/22/08 0:11,"Guard against javascript injection attacks

Ticket #1656",53aca1fdc3f7683efd90472ed7be78f793eb78bb,php,,-67269.25234,-67269.25234,0,-183702.3057,-183702.3057,0,-432719.9678,-432719.9678,0,-51406.75,-51406.75,0,18139.49099,18139.49099,0,-44666.88483,-44666.88483,0,-83774.60526,-83774.60526,0,52901.49926,52901.49926,0,0,0,0,0,0,0,52537,52537,0
SECBENCH,CVE-2014-0081,https://github.com/josh/rails,08d0a11a3f62718d601d39e617c834759cf59bbb,CWE-79,MEDIUM,2014,josh,rails,2/12/14 1:36,"Escape format, negative_format and units options of number helpers

Previously the values of these options were trusted leading to
potential XSS vulnerabilities.

Fixes: CVE-2014-0081",f706d5f945c5751072bb90d080aff154e6858435,rb,4.3,12328.8715,12323.40876,5.462739297,19987.29912,19980.29912,7,16830.09789,16826.95286,3.145038168,32156.92857,32149.92857,7,14769.83466,14762.83466,7,19166.40069,19158.40069,8,-59154.40789,-59162.40789,8,31387.56196,31381.07961,6.482354804,0,0,0,0,0,0,48145,48137,8
SECBENCH,,https://github.com/grails/grails-core,08d543b74810debda7a8adb5efed41057597ad5e,,,2012,grails,grails-core,5/14/12 18:56,"Also cache negative uri cache lookups.

Serving views or resources which do not have a controller is pretty slow due to uri lookups on every request.
This fixes it by also caching uri looks which do not have a controller.

To avoid DOS attacks, the cache is also limited in size, and the size can
be controlled via the grails.urlmapping.cache.maxsize config property.",ba77c1be24538d86dc21aedd4d9e19373ed13ffc,java,,8719.216175,8707.81955,11.39662499,-29778.9514,-29789.93872,10.98732289,-60779.01476,-60787.87481,8.860050891,40901.78571,40887.78571,14,13298.66958,13284.66958,14,18798.07957,18780.07957,18,-55559.53947,-55577.53947,18,67676.13252,67664.01364,12.11887614,0,0,0,0,0,0,92635,92617,18
SECBENCH,,https://github.com/phpmyadmin/phpmyadmin,0933619b6b2534b221817ea3f631cb984c258d6b,CWE-79,,2006,phpmyadmin,phpmyadmin,3/17/06 1:26,XSS vulnerability,b628fcc8a908d0fecf391cf2cc161691255dbbe6,php,,-100611.1357,-100605.6762,-5.459459459,-739178.119,-739178.119,0,-210763.4614,-210763.4614,0,-594204.5,-594204.5,0,87948.4955,87948.4955,0,94069.24279,94123.83739,-54.59459459,71235.68421,71235.68421,0,140154.3009,140154.3009,0,0,0,0,0,0,0,144627,144627,0
SECBENCH,TNL-2248,https://github.com/edx/edx-platform,09e1f9ed71910341b1e806466d70308162dbb832,CWE-79,,2015,edx,edx-platform,5/21/15 22:46,"Fix XSS vulnerability in User Profile.

TNL-2248",2ba5d483fc46cf60dba99fb1122d36268cac8ee5,py,,15953.50361,15948.33018,5.173437275,-87188.55057,-87193.55057,5,-68106.84566,-68111.84566,5,-114810.3929,-114818.3929,8,-67925.23052,-67930.23052,5,114557.8362,114549.8362,8,121073.4079,121065.4079,8,113680.8117,113676.0773,4.734372754,0,0,0,0,0,0,148254,148246,8
SECBENCH,CVE-2015-0208,https://github.com/openssl/openssl,09f06923e636019c39c807cb59c481375e720556,NVD-CWE-Other,MEDIUM,2015,openssl,openssl,3/9/15 23:16,"Reject invalid PSS parameters.

Fix a bug where invalid PSS parameters are not rejected resulting in a
NULL pointer exception. This can be triggered during certificate
verification so could be a DoS attack against a client or a server
enabling client authentication.

Thanks to Brian Carpenter for reporting this issues.

CVE-2015-0208

Reviewed-by: Tim Hudson <tjh@openssl.org>",8106d61c354430d6bbbd7f8e7840a39efc0f5829,c,4.3,-305363.9273,-305363.4825,-0.444770924,-989085.5361,-989086.5361,1,-1816497.245,-1816498.245,1,-322610.9643,-322610.9643,0,-474974.5941,-474964.2202,-10.37387387,25745.12146,25744.12146,1,-90599.44737,-90600.44737,1,265506.3929,265505.4668,0.92616463,0,0,0,0,0,0,348877,348876,1
SECBENCH,CVE-2011-1004,https://github.com/rubinius/rubinius,0a0289086b6a9e5bf1ffb0c58dba3ff5a80800b9,CWE-59,MEDIUM,2011,rubinius,rubinius,2/19/11 2:24,"Updated fileutils.rb for 1.8 and 1.9 to fix security issue.

See http://www.ruby-lang.org/en/news/2011/02/18/fileutils-is-vulnerable-to-symlink-race-attacks/",3e134f200b26f68d6295dd809baee5e609065fd4,rb,6.3,-257805.1549,-258429.8134,624.6585003,-661316.0977,-661692.7422,376.6445065,-1578668.386,-1578754.339,85.95234791,-783075,-772101.75,-10973.25,-80112.12666,-80349.64467,237.518018,-67393.04572,-76185.38393,8792.338209,53198.27632,46083.53947,7114.736842,305349.3311,304721.6861,627.6450794,0,0,0,0,0,0,233965.5,233980.5,-15
SECBENCH,CVE-2011-3358,https://github.com/mantisbt/mantisbt,0a636b37d3425aea7b781e7f25eaeb164ac54a3d,CWE-79,MEDIUM,2011,mantisbt,mantisbt,9/4/11 3:36,"Issue #13281: Fix Projax XSS issues (unescaped value attributes)

Projax sucks. This is why it was replaced with jQuery in the master
branch. However master-1.2.x still uses the older Projax code. The
Projax library doesn't attempt to escape values before dumping them in
HTML output, thus leading to XSS issues.

The easiest workaround is to pass in already-escaped values to the
Projax functions.

This issue was reported by High-Tech Bridge SA Security Research Lab as
part of their advisory #HTB23045, available at
https://www.htbridge.ch/advisory/multiple_vulnerabilities_in_mantisbt.html",4b7492d43680729b4a0328eddc522560dd44514b,php,4.3,-94058.72249,-94058.72249,0,-217161.9927,-217161.9927,0,-370181.4807,-370181.4807,0,-169922.7857,-169922.7857,0,-182686.2549,-182686.2549,0,-86268.24056,-86268.24056,0,-83716.73684,-83716.73684,0,98548.26649,98548.26649,0,0,0,0,0,0,0,70802,70802,0
SECBENCH,,https://github.com/postgres/postgres,0a73f69cb4842f46c1a080b3375b0f268ba1e5de,CWE-89,,2003,postgres,postgres,7/22/03 5:17,"Fix to prevent SQL injection attacks for code calling setObject(int,Object,int)
where Object is a user supplied String and the type is a numeric type
(i.e. INTEGER,LONG,etc).
Also applied a patch from Kim Ho that fixes compile problems under jdk1.2

 Modified Files:
 	jdbc/org/postgresql/Driver.java.in
 	jdbc/org/postgresql/jdbc1/AbstractJdbc1Statement.java",11cb598c397eaa18916c1a0f944f3ead05dab971,java,,-170649.6239,-170649.6239,0,-619521.5183,-619521.5183,0,-1023021.628,-1023021.628,0,-91796.67857,-91796.67857,0,-432302.6232,-432302.6232,0,-196755.8045,-196755.8045,0,146882.4211,146882.4211,0,228314.5924,228314.5924,0,0,0,0,0,0,0,281705,281705,0
SECBENCH,,https://github.com/curl/curl,0aabfd99631a292a72ca601ed0e83786ce9f0ae4,CWE-401,,2012,curl,curl,12/25/12 12:31,curl_multi_remove_handle: fix memory leak triggered with CURLOPT_RESOLVE,14b77db1b97bb382ec97535666813dea26594bd0,c,,-55255.65857,-55248.47883,-7.17974577,-184189.3368,-184167.498,-21.83877587,-424248.3865,-424235.0041,-13.38237335,-13974.17857,-13977.17857,3,-56721.52517,-56725.52517,4,-4287.454844,-4258.677744,-28.77709941,312.1315789,334.7105263,-22.57894737,59440.1646,59436.38486,3.779738306,0,0,0,0,0,0,71112,71108,4
SECBENCH,CVE-2011-0448,https://github.com/josh/rails,0b58a7ff420d7ef4b643c521a62be7259dd2f5cb,CWE-89,HIGH,2010,josh,rails,12/7/10 17:49,"limit() should sanitize limit values

This fixes CVE-2011-0448",6b1018526fb304727ee4191afc2d8a5e29e49eea,rb,7.5,7907.965265,7907.965265,0,12446.97806,12446.97806,0,11585.57257,11585.57257,0,21010.28571,21010.28571,0,15714.6203,15714.6203,0,6943.840609,6943.840609,0,-52615.46053,-52615.46053,0,25788.81593,25788.81593,0,0,0,0,0,0,0,38205,38205,0
SECBENCH,CVE-2013-4491,https://github.com/josh/rails,0c7ac34aed1845044cd1911e5a775366d7ca41c1,CWE-79,MEDIUM,2013,josh,rails,10/31/13 22:50,"Stop using i18n's built in HTML error handling.

i18n doesn't depend on active support which means it can't use our html_safe
code to do its escaping when generating the spans.  Rather than try to sanitize
the output from i18n, just revert to our old behaviour of rescuing the error
and constructing the tag ourselves.

Fixes: CVE-2013-4491",bea9c9b4c0f9bb7356ea2058118fe40495432010,rb,4.3,12472.52593,12475.41957,-2.893640858,19721.88349,19734.44054,-12.55704698,16676.30608,16679.16105,-2.854961832,31860.92857,31862.92857,-2,14670.01484,14664.46529,5.54954955,19279.09012,19285.09012,-6,-56334.71053,-56328.71053,-6,31109.74676,31108.82071,0.926050686,0,0,0,0,0,0,47742,47748,-6
SECBENCH,,https://github.com/unbit/uwsgi,0cb2e6852bcee02484dea06b2c5e9c8f6cbb3138,CWE-402,,2013,unbit,uwsgi,1/27/13 11:19,"plugins/python: fix tracebaker resource leaks on import error

Reported by Coverity as CID #971061, #971062, #971063.",a559e9ea631afa9331cba77d3f1634611a6aa4ab,c,,-38344.04149,-38342.50481,-1.536677144,-114260.3616,-114233.0631,-27.29846984,-223674.244,-223657.5161,-16.72796669,7010.75,7006.75,4,-26656.63672,-26661.63672,5,-38246.41644,-38251.41644,5,-90032.02632,-90037.02632,5,48303.02026,48298.3606,4.65966509,0,0,0,0,0,0,54115.5,54110.5,5
