Dataset,Project,sha,owner,project,sha-p,REG,sha-reg,sha-reg-p
VULAS,https://github.com/apache/activemq,fafd12dfd4f71336f8e32c090d40ed1445959b40,apache,activemq,148ca81dcd8f14cfe2ff37012fd1aa42518f02dc,FOUND,32ddadc7abe714dd40a0603b53f5709c5eafcaa4,3ab1115e9f74d1cccd0bb4455afcb140b44ddfbd
VULAS,https://github.com/apache/activemq,00921f22ff9a8792d7663ef8fadd4823402a6324,apache,activemq,9a6d444e0a492231ad1f4833448b3bbacd839bce,FOUND,5abd2d231abfe076a54981d5bf4fb4f71d47f183,455f1ca475be252b6ffdd07176bf659b81685ea7
VULAS,https://github.com/apache/activemq,b9696ac80bb496b52d05c3884f81b0746d9af9e2,apache,activemq,4fa10356f09908d8cfb9fd4448983ac6d7e80ee7,FOUND,829a186f2a05ac50eef389bea5c407559cdccef0,e47e0e046350a8325ef5948c2c12b0dc4f053916
VULAS,https://github.com/apache/activemq,0b5231ada5ce365b41832ba8752ee210145d1cbe,apache,activemq,e8f8155141e75ba10c1ba03d9031b6128a735507,FOUND,6a631a9d2123d4145f91105ff89ef074122b60ea,19cb932816a09b05d5da73da7fbc39e0dec0e522
VULAS,https://github.com/apache/activemq,0b5231ada5ce365b41832ba8752ee210145d1cbe,apache,activemq,e8f8155141e75ba10c1ba03d9031b6128a735507,FOUND,0054941a53fae1494fbbff417a8e70feff8f8581,1b38caacf4eb73e92bd8f9db529d9939f0f4f49e
VULAS,https://github.com/apache/activemq,3dd86d04e8b90ba309819317d19e7260d414d9e7,apache,activemq,4f43a2121264152b09166b8a09403ee0c205233d,FOUND,fddbac2b8a6b2686c0305e3e24a8ac549cc9e345,eb1a3eb77bf0ce823ba5f4891ef7a546edce5321
VULAS,https://github.com/apache/activemq,bde7097fb8173cf871827df7811b3865679b963d,apache,activemq,2373aa1320dec90a60d69001adcb0ce856d61d10,FOUND,86ec0553c564dd31fc2007d9d1ab7acb05ae634b,08aecbee6e9754e696f3bdf64634263dc73cb5c5
VULAS-M,https://github.com/apache/activemq,886e2d4d97555e2f10276616389a5d1f915bad18,apache,activemq,eaf5c12151552e01c7de31bdcc8b96d8cbd3a1c6,FOUND,3582300af6497a182dc1b48cbb8186964e1771fb,5ece545b7995a10095dda70fb8ed125f8462b19a
VULAS-M,https://github.com/apache/activemq,2895197d0dad246757d8d1d9eea181cbf0543ae9,apache,activemq,d71eefc0bfcb382158e37e168f6b08b92fe5ed98,SKIP,60646c955b91eb3949bc227a5e02e738a394cf36,5f9b11cd951fa4ebb4b1aa12b181b170866f1db6
VULAS-M,https://github.com/apache/activemq,729c4731574ffffaf58ebefdbaeb3bd19ed1c7b7,apache,activemq,a37b43cca82f108a8e3f5c2803a9b50911a60979,FOUND,c17129154d660d9b39efcd3be0e9d6a9105712eb,9629b968ee30356478de569c04c678b9567c8037
VULAS-M,https://github.com/apache/activemq,d7a3b9406b8496c3f1508bebf3c7ff5367374b90,apache,activemq,e8a0d042d8897cffd904697ac8febae7824ddc18,SKIP,,
VULAS-M,https://github.com/apache/activemq,338a74dfa42a7b19d39adecacfa5f626a050e807,apache,activemq,c1157fe1f007ee2344a7f0badefa0794c98817cd,FOUND,a2720c46530a4e82907888bb0c33c2e41c6565e4,1241e4120a5f4af58be2952a6ec985dcd8ac11c3
VULAS-M,https://github.com/apache/activemq,24ad36778534c5ac888f880837075449169578ad,apache,activemq,b595b8bc12cf58314fb131128184fec92e7d2509,FOUND,c65a66fe3e7fe82db0b29f0b679cef6bc0765dde,e57b6462619166d849348220ec155969ac120c75
VULAS-M,https://github.com/apache/activemq,5fa0bbd5156f29d97dcf48fd9fdb6a0488a8df1a,apache,activemq,9d98ee253fbe3e2134e7242abd572c6e64a6f6b2,FOUND,89995f472330a4aa8673be6e2304ae9b5ae545b3,8dea161d55cd74b10199e26e56e037d85ae451a0
VULAS,https://github.com/apache/activemq-apollo,e5647554e6801a522c508a8eb457979a9af8c398,apache,activemq-apollo,e29cfd509d8c5f871b140b1392797f7f39568cd1,FOUND,c5a9c3b005e7f63917046ecd4e0683a820ab40a6,65aaf006f8761be512297c8dc5a376001f6a1ad5
VULAS,https://github.com/apache/activemq-artemis,48d9951d879e0c8cbb59d4b64ab59d53ef88310d,apache,activemq-artemis,879f4a6bb3b15dfc3d00bcde2d982194bd2dadc4,FOUND,7bf62ff6603e848b17b93433e9c60b6cafca1153,9df39ad56963009d72bf1fe27e5b6c8f5beb7613
VULAS,https://github.com/apache/ambari,3ab123a109f6384f019db455f256520f4a8b85dd,apache,ambari,af12bc565bf8c77d028512162f4a67e9a96bd949,FOUND,fe02e386526adfa19ea6a4abad34043d40822a6f,1fbb933ef91d5a1ccf704e8d043c0ab0f6c30df7
VULAS,https://github.com/apache/ambari,eaf8cc4cd2015456307ff3fcf98e49f2826fa270,apache,ambari,e94362c35e0a046dcd7ab802cbf258ce603780c6,FOUND,eec5936bd4819ca83f65c2456c71f83ca59b4f2d,05cd35982b30f424cec0b5b9d93bc4709880a3bc
VULAS,https://github.com/apache/atlas,0dcfd21bbfaac6f037f46b7aaaab0e5546fd2a7,apache,atlas,340e1a5ff664cb70a599997fb5187d020e8458fa,FOUND,cb5f3d407029f2c4b146e2386ef2c4596776e0df,6b744bc26018362b0f5c43c21a6c28e55d23fd5a
VULAS,https://github.com/apache/axis1-java,e7ce8a92bc02be54da102efb64c99aeee21a2106,apache,axis1-java,beeaefaf0be6fdfac60faac0a851e51f348fd210,FOUND,3e6d5a6377a38ed98ee2daef07266e31fce7527e,70b94cddb7af9d0d2702f82172d5ae020d13902f
VULAS,https://github.com/apache/axis2-java,1b560264151217dae8b34b6aa4dfff4f51377656,apache,axis2-java,0959a27a51e844c7381ec1ad8a411861bba09b98,FOUND,f19cf107af06ea314fb0ef952a53d13b55893721,b7bd8a03980428a5c750e68d863610dd28f919ff
VULAS,https://github.com/apache/axis2-java,65aaacc779530682887bc6da4099b5ec4cfab406,apache,axis2-java,3f2ad217f0364c44d167f2d1907b019c97ae0640,FOUND,0446f82f58aeaa13288368fcf528bc7b6fc163ce,8242d62513b14bdb06c312725c6e4036e6b69632
VULAS-M,https://github.com/apache/axis2-java,dbb2a3d37baf651f34b3bb064badb0e2c377f46b,apache,axis2-java,05dafb98d69f86fa1d6d3044c4f6ca271550f817,FOUND,f7e4970b93b85f829dd6abff3c1a80a00ee1ce67,ad1c189a7713f62c11f4f55dbb018b9897b03aee
VULAS,https://github.com/apache/batik,1e12686194370b22420da705d71af66161affa33,apache,batik,6611e7e655718410fb647551869289a9dbb3e2a9,FOUND,d14c6fa7f07fccc9a68e815c2d33ab69cd92e435,59dcd2d853952931e8098a35f8791153707acdc9
VULAS,https://github.com/apache/batik,f91125b26a6ca2b7a1195f1842360bed03629839,apache,batik,23df647cf944b6c33ab23f0433305c153e247839,FOUND,9df2404aa47848421d81c3120823e32493445c76,7aae4c8136997788063398fa1babe3f34dc452eb
VULAS-M,https://github.com/apache/batik,6ab669f073c23a443d78a7a08aea2fd4de10da8c,apache,batik,e2200fd50e424f6e132ec86ba65bb0b0805ca4d3,FOUND,52770e13c6f2205ba82b934e716ac1c27bb18cc0,40ca1ccda999d1793cf61390d88a266300e5a2a2
VULAS,https://github.com/apache/brooklyn-server,3ae4a4d156341a53e54a2fe07192f46b15763d06,apache,brooklyn-server,9f8a3aae0714aceeb72dee99bb09f3b1001de92a,FOUND,26a9382a6dec6d89fb360306e20f52cca2b17013,6e7857638002e37b64554d162e6feba2d7e273b4
VULAS,https://github.com/apache/camel,7d19340bcdb42f7aae584d9c5003ac4f7ddaee36,apache,camel,1df559649a96a1ca0368373387e542f46e4820da,SKIP,,
VULAS,https://github.com/apache/camel,1df559649a96a1ca0368373387e542f46e4820da,apache,camel,504cf03deba0726754f05152f7d8606fb76a72b4,SKIP,,
VULAS-M,https://github.com/apache/camel,5ba8f63f78f82b0cddf6cecbf59ac444a0cae2a6,apache,camel,1657378344dfdf0837464dcae53bf974c595c481,SKIP,,
VULAS-M,https://github.com/apache/camel,341d4e6cca71c53c90962d1c3d45fc9e05cc50c6,apache,camel,2639264b28940683dfc808bf8edfb41bbceb7ad7,SKIP,,
VULAS-M,https://github.com/apache/camel,e922f89290f236f3107039de61af0375826bd96d,apache,camel,d6b118e5d17ce81955b8c43c776a956a640808e4,SKIP,,
VULAS-M,https://github.com/apache/camel,8386d8f7260143802553bc6dbae2880d6c0bafda,apache,camel,0e1e821c1992522da0a37c1fd2e4e85a4581c693,SKIP,,
VULAS-M,https://github.com/apache/camel,5ea0a6f6c6a54f1cddf9691a99b0c237afc95348,apache,camel,39841c6c4d9b8450859d4a3a3be419506cf4546c,SKIP,,
VULAS-M,https://github.com/apache/camel,881e5099f94316d4a66ffbff0a3e6915829d49d,apache,camel,31cce6bc9a4964779f918f64f0719f531ef83b66,SKIP,,
VULAS-M,https://github.com/apache/camel,ad3c1ce9d8300c339cfa7d0f4a4dea691a94798,apache,camel,69a88dcf353c28d3c313b51ac9694a748193075d,SKIP,,
VULAS-M,https://github.com/apache/camel,6b979d07fd4be6ac913368f2abeae690d3325d37,apache,camel,9e9a86bbdac88d5be74ab8340165f618e565b29c,SKIP,,
VULAS-M,https://github.com/apache/camel,ec3d0db81ba061b27e934d5ff56e9baca0049eb,apache,camel,c82284cfecfdb683b3dd19b7e26fbdf5c5480234,SKIP,,
VULAS-M,https://github.com/apache/camel,8467d644813a62f3a836c0c7dee8cf5a41de3c0,apache,camel,927244de63583cd2eae451d6c14ce441b8de714c,SKIP,,
VULAS-M,https://github.com/apache/camel,4580e4d6c65cfd544c1791c824b5819477c583c,apache,camel,845847383df824d0ac06777c99321bfc55076ef8,SKIP,,
VULAS,https://github.com/apache/cassandra,c041ea8b3748089937168839791a6d64382b34de,apache,cassandra,7cc1cf000c6b48bc13aa551467f27e4ab28b2031,FOUND,3575fdccb7b9dee720c06d133aa5895bf0bb0787,d3872408d22ae208a5cb9cdf4c1d76370510459d
SECBENCH,https://github.com/apache/cassandra,260163994e4ac71fafb0578cb143ab4f0f22d6ad,apache,cassandra,52430b93e502dd44f6f0e1bf097ccaaa45e74fd5,FOUND,6065f2c8a79ccbd2b203929dda7237af1ca80402,36dc512ad4771b8e85c1e095822455012f75e1ee
SECBENCH,https://github.com/apache/cassandra,ffbcb4b11b40c52253b02098ca0225b9cf426cd2,apache,cassandra,4d637f1f1b62593e0c52e49966e3f286bf65c3e9,FOUND,22f52ab3a8758a8c6ebfaf87fcd1310b3447a5f3,74c0557fdbee4db11562c75cf39916aec0f020a7
VULAS,https://github.com/apache/cayenne,6fc896b65ed871be33dcf453cde924bf73cf83db,apache,cayenne,0b1f5af0f4b4349a8266c97d6423f44058101b65,FOUND,1d0138c21402bc2b75b5f027693d50fa66e0c1d7,32cff99a5142cb8e30c921a4e75f53e446b885d9
VULAS-M,https://github.com/apache/commons-collections,3eee44cf63b1ebb0da6925e98b3dcc6ef1e4d610,apache,commons-collections,be67139289c7167ed393537543b29041f88ca086,SKIP,,
VULAS,https://github.com/apache/commons-compress,a080293da69f3fe3d11d5214432e1469ee195870,apache,commons-compress,ba12419e6b73441a5a5c1e697ff32c9a9d28e855,FOUND,1930eed89459d1ea726762e362143a5aa2ccaeb4,d85561d9017d4fb0d4fa0a75ca97d617aaae549b
VULAS,https://github.com/apache/commons-compress,a41ce6892cb0590b2e658704434ac0dbcb6834c8,apache,commons-compress,64ed6dde03afbef6715fdfdeab5fc04be6192899,FOUND,42216000561c9b19bc258e337738ac125e5e6a06,12d9048c6c09ab622f389c2550d0668dc7ad26dc
VULAS,https://github.com/apache/commons-compress,2a2f1dc48e22a34ddb72321a4db211da91aa933b,apache,commons-compress,dcb0486fb4cb2b6592c04d6ec2edbd3f690df5f2,FOUND,43930410d6c159a09c48939b431d404b913d54bb,3bf5ef1b921375ae7639b521b05898df42226920
VULAS-M,https://github.com/apache/commons-compress,8f702469cbf4c451b6dea349290bc4af0f6f76c7,apache,commons-compress,bbb461e01f3cc687fd6c3dab71ac215df588d1cc,REPEAT,,
VULAS,https://github.com/apache/commons-fileupload,163a6061fbc077d4b6e4787d26857c2baba495d1,apache,commons-fileupload,e685ae49df3ccb864493f51a14ddd884e86e7e03,REPEAT,,
VULAS,https://github.com/apache/commons-fileupload,c61ff05b3241cb14d989b67209e57aa71540417a,apache,commons-fileupload,401ba23732e9ae96c3e4797eb624d357cb9ae2d0,FOUND,986ab780d7c60b6df53c5b9706c4ca6cdb5f64ca,228eccef50ece9827f2aad9f4e5ed5d54432d439
VULAS,https://github.com/apache/commons-fileupload,774ef160d591b579f703c694002e080f99bcd28b,apache,commons-fileupload,8bf965a49a39521018c587d59dcc943278c4aee7,FOUND,0b4f110f2757cb6ae7c331e45cc96b8ac8a3ae3d,876223341169fa89c04c31f62a72bdfdba3d40dc
VULAS,https://github.com/apache/cordova-android,af2969dec58ca89150b84b5d57edcf63d4ce1302,apache,cordova-android,53dba8678c90f06ee3bdaf903ec1ffa1106be338,FOUND,c341cf0d47c4c24e097985fe941adabfbd1e30b7,f2c38ea0a7dfaa36220d648d1ac93fb06aa84bc2
VULAS,https://github.com/apache/cordova-android,032ea8a8d386d8bcffc5de7fd3e4202478effb7d,apache,cordova-android,fc63f66e8970ab537dda1397a6b58e6d61252c17,FOUND,84274b42590922bd9a77f1851378fdca6c0e6071,b6bf5298e6836b9cdb3c07c0442331b15ce40321
VULAS-M,https://github.com/apache/cordova-plugin-file-transfer,8fcdb1aa3deb892691b44bdf57e8d780da09e2a4,apache,cordova-plugin-file-transfer,cebdae3a402b595c280c722e7f851993f6d5b2c5,FOUND,2b86a85c749a476d0998bb0caff6859c160cb92b,49c57d27b38df9e11e53c4bc11495d9f6a13852e
VULAS,https://github.com/apache/cxf,4500bf901cb2a7312291b6663045f28a95d2a0c4,apache,cxf,577235e62a3358dce8c9f142285858c49c19fbde,REPEAT,,
VULAS,https://github.com/apache/cxf,9c70abe28fbf2b4c4df0b93ed12295ea5a012554,apache,cxf,92831c6a6da8b8a3771e4535dc75003152e74828,REPEAT,,
VULAS,https://github.com/apache/cxf,295a4e2f9eb3e7e0513980202949ccc424dee2d4,apache,cxf,d315a7d5259c28e4babd4d5c061eade848958461,FOUND,5e832944780870f3bf0539b1ee40f62fec493807,a3505225ee53bf7d25b25ac68687976f01347863
VULAS,https://github.com/apache/cxf,b4b9a010bb23059251400455afabddee15b46127,apache,cxf,f9b4939d483b43eb72ad165f995e763ce6bc34d8,REPEAT,,
VULAS,https://github.com/apache/cxf,5df3f72f1a26b7c9ac2888ab65e41f4105706580,apache,cxf,0c77f4ff91451c0bf73ebe1103e99583cc26d786,REPEAT,,
VULAS,https://github.com/apache/cxf,f8ed98e684c1a67a77ae8726db05a04a4978a445,apache,cxf,3158ccb445fbec6ca408c22b4e32ab054ab792b4,FOUND,2679bcc28f82a782b8a49053f490cf9bb6124184,6ab4f892c495b6d5c319363e02e307b6ecd47e93
VULAS,https://github.com/apache/cxf,8f4799b5bc5ed0fe62d6e018c45d960e3652373e,apache,cxf,57d1e47f9559475c0e95a6adeb56da47f19c02ed,FOUND,8604c5c1092daf1562810ef2ac83eaf7537b63e2,3d3e99d4efe2185b8dc156bf65892c3aa8707133
VULAS,https://github.com/apache/cxf,0b3894f57388b9955f2c33b2295223f2835cd7b3,apache,cxf,11bccec4f48f65f36907cd04230b1b751a34d0e1,REPEAT,,
VULAS,https://github.com/apache/cxf,845eccb6484b43ba02875c71e824db23ae4f20c0,apache,cxf,b32c5d0cbf61ae599c33e401679066d92b8e2024,FOUND,26c10829e48bb274100d4e160ccafa2a2768af74,bb0f33bf08d59c85940280ce5071a5856686781e
VULAS,https://github.com/apache/cxf,fade9b81dabe27f864ca38e7b40f28fb44d6f165,apache,cxf,d3b88b5f4090b75273697d8ba7c79e281aba305e,REPEAT,,
VULAS,https://github.com/apache/cxf,66c2c5b9,apache,cxf,631ac6ba0765022a0f53500ac986b61cbabca60c,FOUND,6764212333d3db3188fb7937185c4fcbc30b8e8a,be8e1c1a4493f45c1295f702dc2c89ff79299ab1
VULAS-M,https://github.com/apache/cxf,1a6b532d53a7b98018871982049e4b0c80dc837c,apache,cxf,d479c1b40f1f5d39d018cf808ebbdf7331c8f816,REPEAT,,
VULAS-M,https://github.com/apache/cxf,a23c615b,apache,cxf,c212240f696e3387df19bbcf22d1851aff320078,FOUND,2ca1b8d249555a9ca7756469fc197850847563ce,ba7185c2251789f61c845de081d463011d6d23d7
VULAS-M,https://github.com/apache/cxf,d9e2a6e7,apache,cxf,1cdab6490f3a83599326c3bae51ae76af3b5b8fe,FOUND,e8109062c9e9cd60acd6124ba3617bfc01439f8c,0bd74108ed03cd172c915ce6caaeb35f19645e71
VULAS-M,https://github.com/apache/cxf,8bd915bfd7735c248ad660059c6b6ad26cdbcdf6,apache,cxf,487b5f3f1ad43e4c2f9583b35f1967950dec0cd5,REPEAT,,
VULAS-M,https://github.com/apache/cxf,e66ce235,apache,cxf,23cc548dbb504e4e96d85439b9586ad1d09a32ca,FOUND,d5315e072b8dd5222ede6f8e47c1e3e645209f59,eb9e13e2dd4a22b1d777095a5d92139829d550b8
VULAS-M,https://github.com/apache/cxf,fae6fabf9bd7647f5e9cb68897a7d72b545b741,apache,cxf,eaa7a4cb635b4815ff6fb823a2487803817a4829,REPEAT,,
VULAS,https://github.com/apache/cxf-fediz,0006581e9cacbeef46381a223e5671e524d416b6,apache,cxf-fediz,d30ea588c63b896be10171382e6f2a0d10f0022d,REPEAT,,
VULAS,https://github.com/apache/cxf-fediz,acdbe8c213576792dd95d87315bcc181ea61b57f,apache,cxf-fediz,c6aa62c1e20627c1d6d40f90d6a3a828b73883f7,FOUND,8c82d44b1a78342373e2f72c1f1062ced8a60b21,30ecf64071422bec66f0d2db1c9779a62d50f4bc
VULAS,https://github.com/apache/cxf-fediz,c68e4820816c19241568f4a8fe8600bffb0243cd,apache,cxf-fediz,02df115e99a02dde43079e4fac10ed9d0d5ec69c,REPEAT,,
VULAS,https://github.com/apache/cxf-fediz,b6ed9865d0614332fa419fe4b6d0fe81bc2e660d,apache,cxf-fediz,84b4d31adc6feaa1d2659f87edd1a2b5a88e9fef,REPEAT,,
VULAS-M,https://github.com/apache/cxf-fediz,f65c961ea31e3c1851daba8e7e49fc37bbf77b19,apache,cxf-fediz,f49716338c3cb6564878ff25ec876e66240d3883,REPEAT,,
VULAS-M,https://github.com/apache/cxf-fediz,e7127129dbc0f4ee83985052085e185e750cebbf,apache,cxf-fediz,5937660dc2307fb1ea99f818decb73c05674b60f,REPEAT,,
VULAS-M,https://github.com/apache/derby,4da5b2db5f3a60c1fa8ef616d88a7efe28b0c9d,apache,derby,74fdc0b4801ca97c9fa679870d3448250c4758f9,REPEAT,,
VULAS-M,https://github.com/apache/directory-ldap-api,075b70a733d7af150b3d85684149ff5f029f7fd,apache,directory-ldap-api,a4f3efe84fc3dff27d1cba64a7a5d580270b5a55,FOUND,286655c67f21d58fe989fd2ec7503fed0a3cff0d,2173f8a882d507a6f8c5457ead155cfa728f7ebb
SECBENCH,https://github.com/apache/flink,649f9578bce56e118ec973218271262286c534a9,apache,flink,3e85fc6138b555a6a5595fcba73a024b2dd5c179,FOUND,c0661900e0948445d54ed048f6671b85759f62d7,dc55cc351b4f95f05411b47639f33155194613d3
VULAS,https://github.com/apache/geode,80ad2d70435fb255a8a2d08c8866fbb30a7bedd3,apache,geode,6011e094432c2e528d1c04912d63a7f51fa7c6f4,FOUND,72e9cbe4e28d20b87befe3ba700d0f54040e4c69,1246f4faedc38715977244e10fa06fa1962d6288
VULAS-M,https://github.com/apache/geode,954ccb545d24a9c9a35cbd84023a4d7e07032de0,apache,geode,15ae789b19fc8e58d27eabe6633bf1a117a8fd14,REPEAT,,
VULAS,https://github.com/apache/geronimo,ee031c5e62b0d358250d06c2aa6722518579a6c5,apache,geronimo,67b5e07bf00e01e690e825ee5674666e85e7e204,FOUND,50df3885d459ff7f8ee8e0fae2b54074b9af63bb,3b962adfaecbf0aa5f675071b15bc09ab33c9032
VULAS-M,https://github.com/apache/geronimo,67dda0760bb0925ead201ddd5d809ff53686d63f,apache,geronimo,f1bcbf2bd88a88b4bca589cde452ed7b9732377d,REPEAT,,
VULAS-M,https://github.com/apache/geronimo,67dda0760bb0925ead201ddd5d809ff53686d63f,apache,geronimo,f1bcbf2bd88a88b4bca589cde452ed7b9732377d,REPEAT,,
VULAS-M,https://github.com/apache/geronimo,67dda0760bb0925ead201ddd5d809ff53686d63f,apache,geronimo,f1bcbf2bd88a88b4bca589cde452ed7b9732377d,REPEAT,,
VULAS,https://github.com/apache/groovy,09e9778e8a33052d8c27105aee5310649637233d,apache,groovy,03e3812cff011eda75a518af7f8f676db8622316,FOUND,93ecc0ad47b613e76c47689afc7b93afea6a371b,2971892891602c196822389362798ef35e8d6eed
VULAS,https://github.com/apache/groovy,4df8b652aa018a5d5d1cda8fba938bf3422db31c,apache,groovy,675a04eab7ea1754502caa365f7d251a9ae97493,FOUND,275589aab5a3f98fc23a7fd5ded414280dc2211d,977a0998a08d40a6baed4d6dea90b6e19f93d9f4
VULAS,https://github.com/apache/hadoop,6b710a42e00acca405e085724c89cda016cf7442,apache,hadoop,53fe4eff09fdaeed75a8cad3a26156bf963a8d37,SKIP,,
VULAS-M,https://github.com/apache/hadoop,0319e74c2512d47d47ab9df834f5b6455be7d968,apache,hadoop,a0786d7b5afa1537fe9307b6d2118573de6a98e5,SKIP,,
VULAS-M,https://github.com/apache/hadoop,745f203e577bacb35b042206db94615141fa5e6,apache,hadoop,1d2640b6132e8308c07476badd2d1482be68a298,SKIP,,
VULAS-M,https://github.com/apache/hadoop,829a2e4d271f05afb209ddc834cd4a0e85492ed,apache,hadoop,f0252ad2525c90b2b89ae2ff1de12482da2c8ddd,SKIP,,
VULAS-M,https://github.com/apache/hadoop,d82bc8501869be78780fc09752dbf7af918c14a,apache,hadoop,78b3a038319cb351632250279f171b756c7f24b0,SKIP,,
VULAS-M,https://github.com/apache/hadoop,4dd6206547de8f694532579e37ba8103bafaeb1,apache,hadoop,b8305e6d06cbb9d44c728da14506d5cf825c12e5,SKIP,,
VULAS-M,https://github.com/apache/hadoop,2dd960de983a30bf0d9ee957bdb09f825f9d40a,apache,hadoop,bff858e910f69991e6c75151d9b89c3e78210f16,SKIP,,
VULAS-M,https://github.com/apache/hadoop,5ea6fd85c7aff6df28b87789f607bb57ee92063,apache,hadoop,e4022debf717083ab9192164af9978500035d1be,SKIP,,
VULAS,https://github.com/apache/hbase,408eb243ad51bbad593d83ad2cfd35cc0e90b38e,apache,hbase,1ec24ec1a72f6101f8f5e50f870a147abcbe4a24,FOUND,950b318877e2a7a9d3ee5061e69b675521dbfa2f,003dcbc657af314e6991656b5ef4d87cc5de5266
VULAS,https://github.com/apache/hbase,942e09b71eef5bd9fdb1c8711125c4bc1193bcdc,apache,hbase,19a57f1e7e57b83e17e0ef91e35b02dfd5af2893,REPEAT,,
VULAS-M,https://github.com/apache/hbase,0c42acbdf86d08af3003105a26a2201f75f2e2c,apache,hbase,da3ecf1f13e373e64cb55b85d836c8cc509ee915,FOUND,bea26e98e684d695c440ddcc6d3c62fd3d269d20,2aae247e3f8f8a393b403a82593bdc3a1ba81193
VULAS,https://github.com/apache/hive,6929846a8120eaf094b914b4ca8af80b65f891c8,apache,hive,9641b4d8310877a97cc9521dd28c730971683f32,SKIP,,
VULAS,https://github.com/apache/hive,98f933f269e6b528ef84912b3d701ca3272ec04b,apache,hive,d82409d0d804fa441b7956623ed92719886d2fcd,SKIP,,
VULAS,https://github.com/apache/hive,b0a58d245875dc1b3ac58a7cf1a61d3b17805e96,apache,hive,0cfd4feadd1b7dba206025cc20c5b8235231e8c5,SKIP,,
VULAS-M,https://github.com/apache/hive,1a1d6ca1bc3ae840238dc345fa1eb2c7c28c8cb,apache,hive,72349bb33988656ad43afdc0c7556532ee0dadbc,SKIP,,
VULAS-M,https://github.com/apache/hive,0330c1c0b62f3c2e6a4744048578dea55193b62,apache,hive,b7b3f881f4840430378a27131278876a34368995,SKIP,,
VULAS,https://github.com/apache/httpcomponents-client,a572756592c969affd0ce87885724e74839176fb,apache,httpcomponents-client,d2670af7dc0d622f6ed121294a9eda4d424e2733,FOUND,c4f47f34894151c3d9ff822be9cee8e19422d486,cd41e8998de1c989d7298ca7c53fd4b3e56a89b2
VULAS,https://github.com/apache/httpcomponents-client,6e14fc146a66e0f3eb362f45f95d1a58ee18886a,apache,httpcomponents-client,529541458b62a4ecada29e135968bb60ccc7dfcb,FOUND,6f4a762197347ad71218caba105bf3d4c03e044a,50cb3a3d4ecdcfa81618c44727af1695ce621302
