Dataset,Code,Project,sha,owner,project,sha-p,sha-reg,sha-reg-p,main_fix,main_prev,diff,Write Short Units of Code-fix,Write Short Units of Code-prev,Write Short Units of Code-diff,Write Simple Units of Code-fix,Write Simple Units of Code-prev,Write Simple Units of Code-diff,Write Code Once-fix,Write Code Once-prev,Write Code Once-diff,Keep Unit Interfaces Small-fix,Keep Unit Interfaces Small-prev,Keep Unit Interfaces Small-diff,Separate Concerns in Modules-fix,Separate Concerns in Modules-prev,Separate Concerns in Modules-diff,Couple Architecture Components Loosely-fix,Couple Architecture Components Loosely-prev,Couple Architecture Components Loosely-diff,Keep Architecture Components Balanced-fix,Keep Architecture Components Balanced-prev,Keep Architecture Components Balanced-diff,Keep Your Codebase Small-fix,Keep Your Codebase Small-prev,Keep Your Codebase Small-diff,Automate Tests-fix,Automate Tests-prev,Automate Tests-diff,Write Clean Code-fix,Write Clean Code-prev,Write Clean Code-diff
SECBENCH,,https://github.com/splitbrain/dokuwiki,02b0b681935185a1c4d2d64e76fe499f3d438d12,splitbrain,dokuwiki,10ffc9dd6a89562ef502baa21f968cf269fe21b0,b9134c07d5d38e5247f200f0be79ae08bb45bec1,cefc57d1b45b1648441709ba0d2241656d97bff1,-38650.21461100243,-38651.909792168255,1.6951811658218503,-511069.26577809965,-511037.5076142895,-31.758163810125552,-122855.18982188294,-122862.18982188294,7.0,-97794.03571428571,-97801.03571428571,7.0,81509.18494965554,81502.18494965554,7.0,46206.62837732936,46199.62837732936,7.0,-33009.14473684211,-33016.14473684211,7.0,135734.17661410122,135727.46663863285,6.709975468373159,0.0,0.0,0.0,0.0,0.0,0.0,114775.5,114768.5,7.0
VULAS,CVE-2017-1000354,https://github.com/jenkinsci/jenkins,02d24053bdfeb219d2387a19885a60bdab510479,jenkinsci,jenkins,20b0a131446fc0d3edd08ba0889a55334020b169,5f810770b4f8c994299906767dbb5828eb4eb605,7e4ebd562ac913b52fc6c3506c6c910e76870963,26441.993993837106,26437.900492549008,4.093501288098196,7209.1359826188755,7215.186691045422,-6.050708426546407,-10780.216655100623,-10786.216655100623,6.0,57682.107142857145,57676.107142857145,6.0,41616.69581346052,41617.52013778485,-0.8243243243268807,-92195.27498877545,-92205.27498877545,10.0,108144.68421052632,108134.68421052632,10.0,75982.80843278428,75976.99838715242,5.810045631864341,0.0,0.0,0.0,0.0,0.0,0.0,76760.0,76750.0,10.0
VULAS,JETTY-1042,https://github.com/eclipse/jetty.project,02dd1975ec61052cb9a17342c9bbec289257b701,eclipse,jetty.project,05f730be812d0cbf7b8ef49cc5c1a36751c1c3e9,0bf253bbbf224d0fc1b9b586ba52db96cb541789,ce3698ea75feff0d867d9b43b6a8f4beada55a31,-46314.271352286916,-46353.22450544007,38.953153153153835,-96173.07960642345,-96173.07960642345,0.0,-193860.15572519085,-193860.15572519085,0.0,32431.92857142858,32431.92857142858,0.0,60795.57631160573,60795.57631160573,0.0,-178651.39788181288,-179090.4294133444,439.03153153150924,-337759.38157894736,-337759.38157894736,0.0,113947.79638647108,113947.79638647108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136126.0,136175.5,-49.5
VULAS-M,CVE-2016-6795,https://github.com/apache/struts,030ffa33543f8953306ed0c0dc815c7fb74d7129,apache,struts,77017cd677c209324a9253f005246eba606d80d4,e0e2c4fbb87dde98c630a7c6a06e34242491de97,31fde5a0677a67f73aebafb8bc744423389b1860,-12306.757450110747,-12310.033374286413,3.2759241756666597,-87723.53198494218,-87724.13580375654,0.6038188143575098,-270703.6844321073,-270699.9932454314,-3.6911866759182885,-234554.5,-234559.5,5.0,16802.369369369368,16797.369369369368,5.0,110854.17729746514,110847.17729746514,7.0,105586.28947368421,105579.28947368421,7.0,131021.3057754233,131016.45916580508,4.846609618223738,0.0,0.0,0.0,0.0,0.0,0.0,105650.0,105643.0,7.0
VULAS,CVE-2015-8320,https://github.com/apache/cordova-android,032ea8a8d386d8bcffc5de7fd3e4202478effb7d,apache,cordova-android,fc63f66e8970ab537dda1397a6b58e6d61252c17,84274b42590922bd9a77f1851378fdca6c0e6071,b6bf5298e6836b9cdb3c07c0442331b15ce40321,1449.814885842279,1449.814885842279,0.0,842.9566505739173,842.9566505739173,0.0,636.5551700208189,636.5551700208189,0.0,3007.25,3007.25,0.0,-259.3770535241122,-259.3770535241122,0.0,300.7968588057086,300.7968588057086,0.0,2832.7631578947367,2832.7631578947367,0.0,3744.2040746517205,3744.2040746517205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3393.0,3393.0,0.0
SECBENCH,CVE-2012-3371,https://github.com/openstack/nova,034762e8060dcf0a11cb039b9d426b0d0bb1801d,openstack,nova,b91d2fc02d927066ed0fe21439ccb7548de4138f,9d0b441939ab5a9227e91bb868f499d700c7c907,64a03d48bd714672a3d68136d365bf941201affa,9352.570549850358,9352.570549850358,0.0,-2096.5169125385837,-2096.5169125385837,0.0,4894.084663428174,4894.084663428174,0.0,16545.64285714286,16545.64285714286,0.0,-15436.989931107577,-15436.989931107577,0.0,6977.511898018187,6977.511898018187,0.0,34471.0,34471.0,0.0,29985.472923560512,29985.472923560512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18185.5,18185.5,0.0
VULAS-M,CVE-2015-5346,https://github.com/apache/tomcat80,04164c1f01b973e548d95511d417f414ca723cb8,apache,tomcat,6fcc354e728d4bade39d5f180e592b784340e1ec,8ca6a4b65f477c192720e01e873aa9c413ede7a8,66bf8d3654260c5d6c2da93b03ac7d0091e51021,-18817.135281832925,-18817.135281832925,0.0,-162726.03403399972,-162726.03403399972,0.0,-353532.92727272725,-353532.92727272725,0.0,-24838.14285714284,-24838.14285714284,0.0,24102.383147853743,24102.383147853743,0.0,-170851.68786112615,-170851.68786112615,0.0,193838.0394736842,193838.0394736842,0.0,171914.01658512873,171914.01658512873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133923.0,133923.0,0.0
SECBENCH,,https://github.com/realm/realm-cocoa,04ca766cbbdec1ba417f90f038c9376170edbc12,realm,realm-cocoa,8ceae74eb169a98676da084b7e1667d51c765bc2,e9f3a376daff6233b94ce6ffa6bfb16cf022f064,764158ad059474e420b83ab60cad1d18ab3d3afc,-5342.305482056773,-5286.195532107969,-56.10994994880457,-18944.681534158437,-18898.26934736554,-46.41218679289523,-53867.1059912098,-53759.910525098305,-107.19546611149417,-9314.928571428569,-8875.035714285714,-439.89285714285506,6228.841812400636,6228.841812400636,0.0,4050.837258777175,4050.837258777175,0.0,2072.855263157895,2061.855263157895,11.0,9166.126941893364,9155.72593133417,10.401010559195129,0.0,0.0,0.0,0.0,0.0,0.0,7185.0,7174.0,11.0
VULAS,CVE-2014-2068,https://github.com/jenkinsci/jenkins,0530a6645aac10fec005614211660e98db44b5eb,jenkinsci,jenkins,ac8e17b9ce7a835d0b049fd8329dde4daaa874d9,e2a8c0efd149b4e08bf1c61768f2010fa9dfe8bc,7e9015d3ea6c7444278a4a71d124eddf7d6b3e04,22253.001316960774,22253.001316960774,0.0,5817.7985634457145,5817.7985634457145,0.0,-8786.266990515842,-8786.266990515842,0.0,49649.607142857145,49649.607142857145,0.0,37050.27530471648,37050.27530471648,0.0,-95212.05428693714,-95212.05428693714,0.0,96085.51315789473,96085.51315789473,0.0,69427.14027814666,69427.14027814666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68498.0,68498.0,0.0
VULAS-M,CVE-2013-4590,https://github.com/apache/tomcat,05c84ff8304a69a30b251f207a7b93c2c882564d,apache,tomcat,70dc3b279f7c99136c2c51bce8812508b4893c8b,d9f2e03b9dfbcb230e85f2d63d11ead92102bc31,615fa6ff035dbaed892f0af9095d26683860fa53,-11091.081823211083,-11091.081823211083,0.0,-157723.79927711256,-157723.79927711256,0.0,-342458.4119361554,-342458.4119361554,0.0,-24127.42857142855,-24127.42857142855,0.0,21802.742978272396,21802.742978272396,0.0,-173463.21149141688,-173463.21149141688,0.0,221866.47368421053,221866.47368421053,0.0,178477.31638151963,178477.31638151963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164715.5,164715.5,0.0
SECBENCH,,https://github.com/mattpass/ICEcoder,05de070294681745bdc5c54b336dd48083feb59e,mattpass,ICEcoder,f82914207dca4a4f36404ac371610421cfb52d93,99a9c7ef801c7583e836fb17895f0dfb84498a08,744cfbad160b9a54756f3e89e97248435a2e973c,-445.35020745644664,-445.35020745644664,0.0,-24277.57746827908,-24277.57746827908,0.0,-16952.313023363404,-16952.313023363404,0.0,5535.892857142857,5535.892857142857,0.0,2105.5376258611554,2105.5376258611554,0.0,6926.903812988582,6926.903812988582,0.0,7063.263157894737,7063.263157894737,0.0,8140.290963190686,8140.290963190686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7004.5,7004.5,0.0
SECBENCH,CVE-2012-2098,https://github.com/apache/commons-compress,0600296ab8f8a0bbdfedd483f51b38005eb8e34e,apache,commons-compress,fdd7459bc5470e90024dbe762249166481cce769,982ce0eca9935e65915278ae07febd3a1d52273d,72fec65e1c09e14b92a21aae5d0f0dd20e8fe4ef,5128.8945486046905,5131.819859151872,-2.9253105471816525,-3190.1360280332997,-3220.8765202033223,30.740492170022662,-5839.5533657182505,-5834.00374739764,-5.549618320610534,9286.5,9526.035714285714,-239.53571428571377,957.0166931637523,939.9401165871756,17.076576576576713,907.9306490934359,859.9306490934359,48.0,21968.0,21920.0,48.0,11963.187537541271,11939.172379153359,24.01515838791238,0.0,0.0,0.0,0.0,0.0,0.0,15236.0,15188.0,48.0
SECBENCH,CVE-2012-2660,https://github.com/josh/rails,060c91cd59ab86583a8f2f52142960d3433f62f5,josh,rails,9340f89849606dba02f44038171f3837f883fd4e,670e22e3724791f51d639f409930fba5af920081,071fe79279e89e650acce6613f13027527d01650,1099.5041554206068,1109.404155420607,-9.900000000000091,7959.293570107374,7959.293570107374,0.0,2450.6154984964155,2450.6154984964155,0.0,12936.107142857143,12936.107142857143,0.0,14684.631955484898,14684.631955484898,0.0,1637.58862355602,1637.58862355602,0.0,-54615.46052631579,-54615.46052631579,0.0,22378.765290020005,22378.765290020005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3563.5,3662.5,-99.0
SECBENCH,,https://github.com/MISP/MISP,0614db919e0cb0f463354aedb4bd20f1a8d4cf0b,MISP,MISP,62a3da46f2aeb728544665c51bb39172df2196bd,a992bfe64be5dcc5849dd5d16b7986f837858eaf,6d15ac09c64c08a703cfaed288a6ae558986e00b,-27416.53790562,-27508.470989594854,91.93308397485453,-142202.7759583649,-142397.59027283778,194.8143144728965,-254289.82377978254,-254890.66509368492,600.841313902376,2614.25,2616.25,-2.0,-48209.73555908849,-48222.38420773714,12.648648648646486,-54415.75362227621,-54420.75362227621,5.0,78850.0,78845.0,5.0,72360.45986331213,72361.4333005875,-0.9734372753591742,0.0,0.0,0.0,0.0,0.0,0.0,71128.0,71024.0,104.0
SECBENCH,,https://github.com/libretro/RetroArch,062433491fb6d7f90e4eba03a3d8d943dd59de70,libretro,RetroArch,669599cfd7c2d316e9086d31e1ccaab5b5964adb,287c95ac8b37fab5ac777bb1c5de5c597d740711,8e638f435a37c46195aad1589ab024e443971d12,-608270.0996464356,-608260.9976821104,-9.101964325178415,-1338112.7278129163,-1338101.8084249797,-10.919387936592102,-3059060.804580153,-3058991.555540134,-69.24904001876712,-611661.7142857143,-611663.7142857143,2.0,-1401023.815580286,-1401027.815580286,4.0,-437101.5447869853,-437105.5447869853,4.0,-610630.4736842106,-610605.894736842,-24.578947368543595,521940.08426591026,521938.35653383785,1.727732072409708,0.0,0.0,0.0,0.0,0.0,0.0,852950.0,852948.0,2.0
VULAS,CVE-2018-1000054,https://github.com/jenkinsci/ccm-plugin,066cb43b4413b3490d822ec8b8a32072ebd213ca,jenkinsci,ccm-plugin,fed6ee7435429b7f6a4576acb823a84277c669fc,5f64be59b96e4ec00d9b01377bd0d42fcc1c7013,f0810030f08d5cc3db64518ccaa55b6476be1d08,486.1088969411626,486.1088969411626,0.0,-104.84895279642465,-104.84895279642465,0.0,589.2315521628499,589.2315521628499,0.0,706.0,706.0,0.0,-193.7496025437201,-193.7496025437201,0.0,1069.0678466076697,1069.0678466076697,0.0,1151.0,1151.0,0.0,542.8881259812512,542.8881259812512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.5,1101.5,0.0
SECBENCH,,https://github.com/owncloud/core,068688063eb660d35ee0dca8d3ceb53d2f243bbe,owncloud,core,f0da7b20c12c14e0fbd9cddfbe7c5c26d43e2607,2ee809fd8636643c0ccc69bcf023ce2c404143e2,6d9947b3ff7cb3d6d67b538dc3e522fd1f8ccaa1,-29030.62966153974,-29029.940574314525,-0.6890872252151894,-322622.3588404,-322623.3588404,1.0,-277380.97603516077,-277381.97603516077,1.0,-196719.6071428571,-196720.6071428571,1.0,74335.5283518813,74334.5283518813,1.0,98457.3903330438,98464.5846078962,-7.194274852401577,96666.28947368421,96671.93421052632,-5.644736842106795,133088.43724441115,133087.4891049688,0.9481394423637539,0.0,0.0,0.0,0.0,0.0,0.0,103869.0,103868.0,1.0
SECBENCH,,https://github.com/MISP/MISP,0687d3f6f48247fbcb510c26e0966864a8fa9081,MISP,MISP,9cd1b0469d872a48afff17f5b2bfb9a6ad0ef8ee,b6e84f74d41f2893c4fd881e140cd4de4faa6a1e,7be53e6b5bab81caa7afb25984ac8250a8105f36,-51072.26931382333,-51072.26931382333,0.0,-238712.54258165494,-238712.54258165494,0.0,-436198.8852648623,-436198.8852648623,0.0,-31967.999999999985,-31967.999999999985,0.0,-58769.39401165871,-58769.39401165871,0.0,-76445.40743421575,-76445.40743421575,0.0,119787.0,119787.0,0.0,110310.53615415843,110310.53615415843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101274.0,101274.0,0.0
VULAS,CVE-2018-17228,https://github.com/narkisr/nmap4j,06b58aa3345d2f977553685a026b93e61f0c491e,narkisr,nmap4j,3be15623bc9b253d91578a7038d00fdc3d27cb05,695b3f0fd4e7edd7e63f6f5fe327cda560368f0d,ba7e67f047d93e0dca350af8e3e08d0813238108,827.1764059698519,764.1299818138391,63.04642415601279,331.6766744098059,237.2717527095822,94.40492170022372,-2157.4710617626647,-2235.921443442054,78.45038167938947,1052.2142857142858,1219.75,-167.53571428571422,1301.4594594594596,1184.4594594594596,117.0,1994.23830024715,1853.23830024715,141.0,2752.0,2611.0,141.0,1384.1464016304822,1299.0017491642539,85.14465246622831,0.0,0.0,0.0,0.0,0.0,0.0,1613.5,1472.5,141.0
VULAS,CVE-2018-1000149,https://github.com/jenkinsci/ansible-plugin,06d30e5b626a978e258a7f4ab473cd7f53a7cba7,jenkinsci,ansible-plugin,02694ea4c4f08d1ace78afd5116ad76db8ddb458,8da84e7db3abff28844d03a722ffcd4374b4ab11,cefdea0acc6d84a843f5454535856bea9bdc8bb3,9.207800712126154,156.80320141289752,-147.59540070077136,-203.57151984012827,99.7333839009387,-303.304903741067,6.183900069396259,165.61068702290075,-159.4267869535045,-772.2142857142856,234.0,-1006.2142857142856,-923.3876523582405,-362.329093799682,-561.0585585585585,578.0,420.0,158.0,578.0,420.0,158.0,251.06756496451965,171.01703700481772,80.05052795970192,0.0,0.0,0.0,0.0,0.0,0.0,578.0,420.0,158.0
SECBENCH,,https://github.com/joomla/joomla-cms,072e9bf0f2266885f40eb23d54da636280b9b088,joomla,joomla-cms,f5bf6fbc15b4f2e1c30e2bf2d6eadfbaf654aff0,431b8ea26965d3216ec6f23b33f316ce1ff337b0,baaaaa6e7f834e04fa64fac76f5bc6e8976310cb,-94128.36633025896,-94136.29683567645,7.9305054174910765,-526395.3571821456,-526363.1707637082,-32.18641843739897,-714282.6047652094,-714283.6149433263,1.0101781169651076,-285594.6785714285,-285611.6785714285,17.0,12090.978802331752,12071.978802331752,19.0,51315.81142553826,51296.81142553826,19.0,1408.5131578947476,1389.5131578947476,19.0,258659.6738304292,258642.19253593386,17.481294495344628,0.0,0.0,0.0,0.0,0.0,0.0,261514.0,261495.0,19.0
SECBENCH,,https://github.com/cakephp/cakephp,076b6f998c42613dd64206c0a1d0d4a6e2055efb,cakephp,cakephp,2c85da44da2c9bbf6fc4a52ba990660f554d320d,e2a2770d9f4c8f235c5e98d5c455b5f2abc727b6,485570de246eb869daea90b05ba9777dc7c085f4,-7354.2475463510955,-7355.843008552301,1.595462201205919,-46324.51918666289,-46326.51918666289,2.0,-88160.00828128614,-88162.00828128614,2.0,10714.285714285716,10712.285714285716,2.0,-9055.364864864863,-9057.364864864863,2.0,-18020.228483490475,-18022.228483490475,2.0,14652.276315789473,14650.276315789473,2.0,31720.583322718216,31718.62870070616,1.9546220120573707,0.0,0.0,0.0,0.0,0.0,0.0,30930.5,30928.5,2.0
SECBENCH,,https://github.com/mattpass/ICEcoder,078068e2527747f5688997d5dc1293213de65bd1,mattpass,ICEcoder,69d8ddce7756802525bc07ac028b939e554a81ca,d24a2745ce3c3ddb0968866b56a24018416ec2e4,8da637c650a62802fedb6991839a1e52606b2e48,-445.35020745644664,-445.35020745644664,0.0,-24277.57746827908,-24277.57746827908,0.0,-16952.313023363404,-16952.313023363404,0.0,5535.892857142857,5535.892857142857,0.0,2105.5376258611554,2105.5376258611554,0.0,6926.903812988582,6926.903812988582,0.0,7063.263157894737,7063.263157894737,0.0,8140.290963190686,8140.290963190686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7004.5,7004.5,0.0
SECBENCH,,https://github.com/dlitz/pycrypto,0782d68840d0ebf850516e606e398b8a5396eb64,dlitz,pycrypto,f49fd0e1b57071e52200806d095679753fe36e17,894bbc23e986ca21ae6d712604b000169dd88317,9b900a490e01c8928a617d4a8cf15187c5e6c5c1,1130.0023405502645,1130.0023405502645,0.0,-6499.050855851252,-6499.050855851252,0.0,1466.5052047189452,1466.5052047189452,0.0,2130.464285714286,2130.464285714286,0.0,1687.332803391627,1687.332803391627,0.0,3367.646017699115,3367.646017699115,0.0,3533.0,3533.0,0.0,3219.625949829924,3219.625949829924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2394.5,2394.5,0.0
VULAS-M,CVE-2016-6817,https://github.com/apache/tomcat,079372fc7bac8e2e378942715c9ce26a4a72c07a,apache,tomcat,e4bdc8ab50b13ffe66ecdf242db5a83199f4dad1,01f56846424106d776dfc90e7861d189d1ebde28,21cd3083af2d45b2c0d91f57356116f80bdbbed5,-25762.955438947494,-25772.776623716283,9.821184768788953,-126766.13159159898,-126772.59989883238,6.468307233400992,-256717.02290076338,-256718.17302798983,1.1501272264576983,-103443.32142857142,-103455.32142857142,12.0,26425.35532591416,26411.35532591416,14.0,-149972.08310779338,-149989.08310779338,17.0,114751.55263157896,114734.55263157896,17.0,143407.5966817591,143394.00326853106,13.593413228052668,0.0,0.0,0.0,0.0,0.0,0.0,94684.5,94667.5,17.0
SECBENCH,,https://github.com/curl/curl,0796a993171f627d546c42a8fb28e906528cc688,curl,curl,2497c42172307485fb60100474b68c1620041df5,5c8521851f6f9c8b76e369ce87dd57e5ee6d38e7,6d3c9c8ab4754ea21622d65f11df403bbaf46e2d,-85814.51810891427,-85814.73205529514,0.213946380870766,-262025.73757685564,-262025.98440757897,0.24683072333573364,-596894.7269026139,-596894.4419153365,-0.2849872773513198,-30531.78571428571,-30532.78571428571,1.0,-145183.90805511392,-145184.90805511392,1.0,-10978.414038864192,-10975.649588573195,-2.764450290997047,10581.381578947374,10580.381578947374,1.0,84263.50961964321,84262.56754898952,0.9420706536911894,0.0,0.0,0.0,0.0,0.0,0.0,92624.5,92623.5,1.0
